N,D,uD,loss
421200000.0,3900000000.0,3900000000.0,3.348126
421200000.0,3900000000.0,1500000000.0,3.35496
421200000.0,3900000000.0,400000000.0,3.404755
421200000.0,3900000000.0,100000000.0,3.89862
421200000.0,1500000000.0,100000000.0,3.797898
421200000.0,2700000000.0,100000000.0,3.747371
421200000.0,5900000000.0,100000000.0,4.169935
421200000.0,7500000000.0,100000000.0,4.376178
421200000.0,32000000000.0,32000000000.0,2.912103
421200000.0,32000000000.0,4800000000.0,2.926206
421200000.0,32000000000.0,1500000000.0,2.980892
421200000.0,32000000000.0,400000000.0,3.366502
421200000.0,32000000000.0,100000000.0,5.783605
421200000.0,60000000000.0,400000000.0,3.431953
421200000.0,91000000000.0,400000000.0,3.465185
421200000.0,91000000000.0,1500000000.0,2.917592
421200000.0,250000000000.0,1500000000.0,2.890927
421200000.0,300000000000.0,1500000000.0,2.884335
