IntelliValSet|zh|web-data,IntelliValSet|zh|paper,IntelliValSet|zh|book,IntelliValSet|zh,IntelliValSet|en|web-data,IntelliValSet|en|paper,IntelliValSet|en|book,IntelliValSet|en,IntelliValSet_Raw|zh|web-data,IntelliValSet_Raw|zh|paper,IntelliValSet_Raw|zh|book,IntelliValSet_Raw|zh,IntelliValSet_Raw|en|web-data,IntelliValSet_Raw|en|paper,IntelliValSet_Raw|en|book,L,IntelliValSet_Raw,IntelliValSet,data_recipe,h,ffnh,numh,numl,lr,bs,ti,loss,smooth loss,average_iter_time,target_iter,final_iter,seq_len,D,N,M,D/N,round(D/N),ND,C,exact_N,N_add_emb,new_D/N,new_round(D/N),new_ND
4.004737173,2.431924218,2.377781645,2.767222211,0.706943515,0.676662111,0.6771512,0.686952637,4.078400473,2.366872225,2.064358987,2.60334668,0.716688179,0.651910389,0.657121821,0.675320662,1.413454106,1.483467225,2049_sc,1024,2728,16,16,0.00157,56,17438,2.705915,2.757295262,0.239493,-1,17437,2048,1999929344,201228288,1609826304,3.518744623,9,4.02442E+17,3.22E+18,201228288,335446016,3.518744623,9,4.02442E+17
3.875941674,2.360511893,2.298595024,2.67843931,0.688230033,0.658078876,0.66017402,0.66886396,3.942982494,2.29225891,1.986753612,2.513092088,0.697342029,0.633317633,0.639966349,0.656957478,1.367567719,1.43831043,2049_sc,1024,2728,16,16,0.00174,72,19181,2.726459,2.692566295,0.298928,-1,19180,2048,2828353536,201228288,1609826304,3.518744623,14,5.69145E+17,4.55E+18,201228288,335446016,3.518744623,14,5.69145E+17
3.714349487,2.301612928,2.196435539,2.572989634,0.672001488,0.642376148,0.645877302,0.653456479,3.771816585,2.225572829,1.899255861,2.411272004,0.680597394,0.61738299,0.625473858,0.64123511,1.318883346,1.388426685,2049_sc,1024,2728,16,16,0.00194,88,22194,2.638465,2.629472674,0.356258,-1,22193,2048,3999891456,201228288,1609826304,3.518744623,19,8.04891E+17,6.44E+18,201228288,335446016,3.518744623,19,8.04891E+17
3.560755775,2.195057277,2.100276218,2.461031182,0.658475668,0.629103902,0.63324477,0.640313772,3.611120877,2.119034748,1.818697808,2.305897484,0.666613884,0.60368327,0.612667898,0.627739919,1.270212693,1.33744841,2049_sc,1024,2728,16,16,0.00216,104,26558,2.588637,2.574039113,0.412557,-1,26557,2048,5656641536,201228288,1609826304,3.518744623,28,1.13828E+18,9.11E+18,201228288,335446016,3.518744623,28,1.13828E+18
3.391286357,2.095488049,2.005464514,2.347799344,0.645229236,0.616399748,0.621419125,0.627722618,3.434944179,2.017158751,1.736374012,2.197138558,0.652942383,0.590920667,0.600830126,0.614983194,1.220702088,1.286322936,2049_sc,1024,2728,16,16,0.0024,128,30517,2.560096,2.527345195,0.500744,-1,30516,2048,7999848448,201228288,1609826304,3.518744623,39,1.6098E+18,1.29E+19,201228288,335446016,3.518744623,39,1.6098E+18
3.270425638,2.022228529,1.909961838,2.251807912,0.63370289,0.604648972,0.610603419,0.616360194,3.308485359,1.941514259,1.650948598,2.104586122,0.640971957,0.579258196,0.589794491,0.603427741,1.178137416,1.242556904,2049_sc,1024,2728,16,16,0.00267,152,36343,2.497832,2.483183995,0.840797,-1,36342,2048,11313430528,201228288,1609826304,3.518744623,56,2.27658E+18,1.82E+19,201228288,335446016,3.518744623,56,2.27658E+18
3.141286041,1.961052093,1.84472787,2.172771995,0.624417469,0.595482636,0.601718264,0.607248245,3.174453025,1.878613149,1.597611887,2.030271964,0.631414314,0.570081881,0.580823329,0.594192627,1.143987172,1.206671761,2049_sc,1024,2728,16,16,0.00297,192,40690,2.463018,2.447173856,0.740794,-1,40689,2048,15999959040,201228288,1609826304,3.518744623,79,3.21964E+18,2.58E+19,201228288,335446016,3.518744623,79,3.21964E+18
3.028710074,1.89350452,1.774168149,2.093221124,0.616088363,0.587370177,0.594425644,0.599338025,3.057482406,1.811505877,1.533502076,1.953210501,0.622875124,0.561897324,0.573530655,0.586188278,1.109544712,1.171331047,2049_sc,1024,2728,16,16,0.0033,232,47623,2.387539,2.416743796,1.274953,-1,47622,2048,22627401728,201228288,1609826304,3.518744623,112,4.55327E+18,3.64E+19,201228288,335446016,3.518744623,112,4.55327E+18
2.931316127,1.824085769,1.725710523,2.028376195,0.607519341,0.579080123,0.586934792,0.591222455,2.955675691,1.740583459,1.486392414,1.887692854,0.613969959,0.55351656,0.565957653,0.57790276,1.07934821,1.141494368,2049_sc,1024,2728,16,16,0.00367,280,55803,2.375923,2.382839734,1.085234,-1,55802,2048,31999672320,201228288,1609826304,3.518744623,159,6.43924E+18,5.15E+19,201228288,335446016,3.518744623,159,6.43924E+18
2.848935819,1.786841561,1.678277914,1.975322365,0.602633203,0.573742494,0.582511837,0.586342278,2.869100308,1.701165776,1.444191562,1.835900615,0.608987199,0.548376987,0.561447878,0.573026635,1.056510526,1.118168977,2049_sc,1024,2728,16,16,0.00409,344,64235,2.367794,2.367744573,1.842734,-1,64234,2048,45254328320,201228288,1609826304,3.518744623,224,9.10645E+18,7.29E+19,201228288,335446016,3.518744623,224,9.10645E+18
