IntelliValSet|zh|web-data,IntelliValSet|zh|paper,IntelliValSet|zh|book,IntelliValSet|zh,IntelliValSet|en|web-data,IntelliValSet|en|paper,IntelliValSet|en|book,IntelliValSet|en,IntelliValSet_Raw|zh|web-data,IntelliValSet_Raw|zh|paper,IntelliValSet_Raw|zh|book,IntelliValSet_Raw|zh,IntelliValSet_Raw|en|web-data,IntelliValSet_Raw|en|paper,IntelliValSet_Raw|en|book,L,IntelliValSet_Raw,IntelliValSet,data_recipe,h,ffnh,numh,numl,lr,bs,ti,loss,smooth loss,average_iter_time,target_iter,final_iter,seq_len,D,N,M,D/N,round(D/N),ND,C,exact_N,N_add_emb,new_D/N,new_round(D/N),new_ND
2.467577449,1.522216939,1.39910112,1.676026533,0.525553112,0.503633398,0.512616216,0.51397348,2.474504773,1.431341319,1.204018876,1.552841203,0.529755497,0.477959566,0.491259617,0.499738144,0.902912469,0.958912068,2049_sc,2048,5448,32,32,0.00103,416,75120,2.053824,2.054014737,2.175343,-1,75119,2048,63999836160.0,1608122368,11258560512,3.518744623,39,1.0292e+20,7.21e+20,1608122368,1876557824,3.518744623,39,1.0292e+20
2.390148941,1.47554445,1.35276342,1.622415886,0.518717141,0.496718886,0.506156086,0.507237475,2.394532895,1.382208313,1.161759778,1.500197264,0.522678785,0.470897318,0.484755251,0.492857967,0.878511904,0.934228228,2049_sc,2048,5448,32,32,0.00115,512,86316,2.033295,2.022842818,1.218237,-1,86315,2048,90508886016.0,1608122368,11258560512,3.518744623,56,1.45549e+20,1.02e+21,1608122368,1876557824,3.518744623,56,1.45549e+20
2.315401328,1.427065378,1.303924031,1.567670438,0.512313705,0.490549037,0.500214409,0.501065961,2.31648605,1.33492292,1.121322526,1.449405267,0.516072547,0.464864508,0.478802091,0.486660066,0.855241415,0.909458236,2049_sc,2048,5448,32,32,0.00128,640,97656,1.9987,1.998036177,1.491116,-1,97655,2048,128000000000.0,1608122368,11258560512,3.518744623,79,2.05839e+20,1.44e+21,1608122368,1876557824,3.518744623,79,2.05839e+20
3.846367935,2.324089653,2.194268851,2.607820415,0.650204435,0.62467846,0.626544097,0.633839902,3.911839296,2.251344132,1.915223598,2.458304332,0.658361578,0.600008665,0.606465814,0.621687559,1.324825511,1.389657462,2049_sc,2048,5448,32,32,0.000356,56,17438,2.475127,2.539341557,1.025064,-1,17437,2048,1999929344.0,1608122368,11258560512,3.518744623,1,3.21613e+18,2.25e+19,1608122368,1876557824,3.518744623,1,3.21613e+18
3.696580557,2.232968151,2.089052928,2.495701332,0.63243055,0.607985028,0.610842077,0.617117323,3.753247299,2.158913868,1.821058841,2.349656359,0.640038906,0.583108009,0.590607031,0.604660387,1.272721852,1.336408508,2049_sc,2048,5448,32,32,0.000396,72,19181,2.510761,2.476395613,1.352035,-1,19180,2048,2828353536.0,1608122368,11258560512,3.518744623,1,4.54834e+18,3.18e+19,1608122368,1876557824,3.518744623,1,4.54834e+18
3.516779206,2.128369752,1.980683842,2.371719871,0.615622782,0.591752986,0.59555428,0.601009121,3.564071294,2.05125064,1.722274565,2.227817548,0.622598791,0.566599288,0.575009749,0.588145533,1.21588434,1.278996705,2049_sc,2048,5448,32,32,0.00044,88,22194,2.42749,2.406505861,1.808297,-1,22193,2048,3999891456.0,1608122368,11258560512,3.518744623,2,6.43231e+18,4.5e+19,1608122368,1876557824,3.518744623,2,6.43231e+18
3.349720049,2.034222547,1.886801836,2.26084621,0.600142277,0.577004667,0.581447286,0.586230824,3.389350938,1.952541938,1.643325569,2.121939508,0.606677637,0.551528322,0.560802103,0.573079471,1.166051445,1.227424446,2049_sc,2048,5448,32,32,0.00049,104,26558,2.352791,2.343604427,2.125162,-1,26557,2048,5656641536.0,1608122368,11258560512,3.518744623,3,9.09657e+18,6.37e+19,1608122368,1876557824,3.518744623,3,9.09657e+18
3.156838977,1.923401094,1.783247478,2.134871771,0.58658422,0.563809944,0.569377642,0.573291557,3.189238834,1.839900203,1.548779069,1.998600831,0.592614179,0.538270875,0.548511501,0.559876387,1.110683596,1.171205133,2049_sc,2048,5448,32,32,0.000545,128,30517,2.326957,2.293245783,2.184866,-1,30516,2048,7999848448.0,1608122368,11258560512,3.518744623,4,1.28647e+19,9.01e+19,1608122368,1876557824,3.518744623,4,1.28647e+19
3.03744044,1.849330587,1.720706532,2.056391169,0.574069592,0.551720431,0.557783285,0.561225782,3.064850841,1.765029261,1.492107905,1.921866916,0.579735533,0.52613451,0.536812028,0.547638147,1.073753565,1.13370978,2049_sc,2048,5448,32,32,0.000606,152,36343,2.263478,2.245389075,3.053969,-1,36342,2048,11313430528.0,1608122368,11258560512,3.518744623,7,1.81934e+19,1.27e+20,1608122368,1876557824,3.518744623,7,1.81934e+19
2.896878296,1.77441139,1.642990005,1.964813253,0.562585129,0.540181769,0.547152232,0.550009343,2.918942577,1.686242538,1.420467941,1.831320599,0.567818122,0.514506391,0.525969221,0.536176382,1.032014744,1.091723728,2049_sc,2048,5448,32,32,0.000674,192,40690,2.211514,2.19892852,3.232966,-1,40689,2048,15999959040.0,1608122368,11258560512,3.518744623,9,2.57299e+19,1.8e+20,1608122368,1876557824,3.518744623,9,2.57299e+19
2.773683718,1.698363102,1.565346205,1.877018223,0.551630615,0.530367569,0.537430873,0.539844908,2.791968964,1.610320903,1.355700969,1.749468408,0.55660917,0.504522442,0.516148231,0.525837341,0.994297313,1.051835308,2049_sc,2048,5448,32,32,0.00075,224,49323,2.174221,2.157440762,1.996175,-1,49322,2048,22627024896.0,1608122368,11258560512,3.518744623,14,3.6387e+19,2.55e+20,1608122368,1876557824,3.518744623,14,3.6387e+19
2.648484929,1.62983105,1.500056956,1.797086604,0.542535696,0.520727573,0.528454838,0.530609659,2.661848906,1.539134557,1.296475138,1.670953062,0.547168124,0.494792218,0.507110055,0.516435688,0.958435888,1.01553112,2049_sc,2048,5448,32,32,0.000835,288,54253,2.104771,2.118278163,2.548613,-1,54252,2048,31999721472.0,1608122368,11258560512,3.518744623,19,5.14595e+19,3.6e+20,1608122368,1876557824,3.518744623,19,5.14595e+19
2.553900421,1.567669882,1.441773307,1.729468372,0.533648933,0.511739733,0.520314663,0.521939634,2.562886626,1.47730503,1.242031751,1.604426711,0.537999631,0.485905854,0.498913729,0.507686155,0.927566839,0.984290411,2049_sc,2048,5448,32,32,0.000929,352,62775,2.077752,2.087285475,1.866328,-1,62774,2048,45254246400.0,1608122368,11258560512,3.518744623,28,7.27744e+19,5.09e+20,1608122368,1876557824,3.518744623,28,7.27744e+19
,,,,,,,,4.062893097,2.342804191,2.000112652,2.560086155,0.678249804,0.61913148,0.624021323,0.640541259,1.375427755,,2049_sc,2048,5448,32,32,0.000321,48,14386,2.552664,2.618904952,0.89945,-1,14385,2048,1414201344.0,1608122368,11258560512,454.9285653,0,2.27421e+18,1.59e+19,1608122368,1876557824,454.9285653,0,2.27421e+18
,,,,,,,,2.251306322,1.298097317,1.091746769,1.409841578,0.51024136,0.459344754,0.473772054,0.481200227,0.836725118,,2049_sc,2048,5448,32,32,0.00143,768,115088,1.958037,1.973438234,1.764244,-1,115087,2048,181018000000.0,1608122368,11258560512,10.04737666,112,2.91099e+20,2.04e+21,1608122368,1876557824,10.04737666,112,2.91099e+20
,,,,,,,,2.21852546,1.276536143,1.065801821,1.383375105,0.504919315,0.454675943,0.468873713,0.476236049,0.823528912,,2049_sc,2048,5448,32,32,0.00159,896,139508,1.944799,1.951223698,1.087996,-1,139507,2048,255998000000.0,1608122368,11258560512,10.04737666,159,4.11677e+20,2.88e+21,1608122368,1876557824,10.04737666,159,4.11677e+20
,,,,,,,,2.158861753,1.244083143,1.046009069,1.351389094,0.500557871,0.450926181,0.464806948,0.472175509,0.808716386,,2049_sc,2048,5448,32,32,0.00177,1152,153451,1.921482,1.932320048,1.403696,-1,153450,2048,362036000000.0,1608122368,11258560512,321.7099232,225,5.82199e+20,4.08e+21,1608122368,1876557824,321.7099232,225,5.82199e+20
