N,D,step,val_github,val_pilecc,val_books3,r_github,r_pilecc,r_books3,loss
70000000,30000000000,18000,1,0,0,0.625,0.375,0,1.3482097672064777
70000000,30000000000,12000,1,0,0,0.75,0.25,0,1.3749110418775303
70000000,30000000000,14000,1,0,0,0.375,0.625,0,1.4968726277834008
70000000,30000000000,10000,0,1,0,0.5,0.5,0,3.7396681127149876
70000000,30000000000,22000,1,0,0,0.625,0.375,0,1.3170427947874495
70000000,30000000000,18000,1,0,0,0.25,0.75,0,1.5005495635121457
70000000,30000000000,13000,1,0,0,0.375,0.625,0,1.4904992725202428
70000000,30000000000,13000,1,0,0,0.25,0.75,0,1.557593465334008
70000000,30000000000,10000,0,1,0,0.375,0.625,0,3.702006871928747
70000000,30000000000,18000,1,0,0,0.75,0.25,0,1.3099142839068827
70000000,30000000000,27000,1,0,0,0.75,0.25,0,1.2609655712297572
70000000,30000000000,16000,0,1,0,0.75,0.25,0,3.789753531941032
70000000,30000000000,24000,0,1,0,0.5,0.5,0,3.58225679514742
70000000,30000000000,10000,1,0,0,0.75,0.25,0,1.411091298709514
70000000,30000000000,27000,0,1,0,0.375,0.625,0,3.535132255835381
70000000,30000000000,22000,0,1,0,0.75,0.25,0,3.731812423218673
70000000,30000000000,30000,1,0,0,0.375,0.625,0,1.3859675480769231
70000000,30000000000,27000,0,1,0,0.625,0.375,0,3.630969748157248
70000000,30000000000,30000,0,1,0,0.75,0.25,0,3.7032881603194103
70000000,30000000000,20000,0,1,0,0.375,0.625,0,3.5726495316339064
70000000,30000000000,16000,1,0,0,0.25,0.75,0,1.514166086791498
70000000,30000000000,13000,1,0,0,0.5,0.5,0,1.4356536247469636
70000000,30000000000,30000,0,1,0,0.625,0.375,0,3.6268907401719903
70000000,30000000000,16000,1,0,0,0.5,0.5,0,1.3968026473937247
70000000,30000000000,22000,1,0,0,0.375,0.625,0,1.4163675037955465
70000000,30000000000,10000,1,0,0,0.5,0.5,0,1.4789030870445343
70000000,30000000000,13000,0,1,0,0.5,0.5,0,3.6879222972972974
70000000,30000000000,27000,0,1,0,0.25,0.75,0,3.502212261977887
70000000,30000000000,14000,1,0,0,0.625,0.375,0,1.3889802631578947
70000000,30000000000,13000,1,0,0,0.75,0.25,0,1.3565856686487854
70000000,30000000000,24000,0,1,0,0.375,0.625,0,3.54479710534398
70000000,30000000000,18000,0,1,0,0.5,0.5,0,3.6260797374078626
70000000,30000000000,22000,1,0,0,0.75,0.25,0,1.278539742535425
70000000,30000000000,12000,1,0,0,0.625,0.375,0,1.4093160899544535
70000000,30000000000,30000,0,1,0,0.375,0.625,0,3.531590717137592
70000000,30000000000,22000,0,1,0,0.625,0.375,0,3.6530107877764126
70000000,30000000000,24000,0,1,0,0.25,0.75,0,3.512001881142506
70000000,30000000000,12000,1,0,0,0.5,0.5,0,1.4640767332995952
70000000,30000000000,30000,0,1,0,0.5,0.5,0,3.5669533169533167
70000000,30000000000,14000,0,1,0,0.75,0.25,0,3.8148802211302213
70000000,30000000000,30000,1,0,0,0.25,0.75,0,1.4443359375
70000000,30000000000,14000,1,0,0,0.5,0.5,0,1.4161105136639676
70000000,30000000000,30000,0,1,0,0.25,0.75,0,3.498733108108108
70000000,30000000000,16000,1,0,0,0.75,0.25,0,1.3259801208248987
70000000,30000000000,20000,0,1,0,0.625,0.375,0,3.668803746928747
70000000,30000000000,27000,1,0,0,0.625,0.375,0,1.2959182059716599
70000000,30000000000,14000,1,0,0,0.75,0.25,0,1.3451377467105263
70000000,30000000000,20000,1,0,0,0.75,0.25,0,1.2927710652834008
70000000,30000000000,20000,1,0,0,0.375,0.625,0,1.4282898690536436
70000000,30000000000,12000,0,1,0,0.625,0.375,0,3.759525683353808
70000000,30000000000,10000,0,1,0,0.25,0.75,0,3.6703489711302213
70000000,30000000000,13000,0,1,0,0.625,0.375,0,3.7486083384520885
70000000,30000000000,20000,0,1,0,0.25,0.75,0,3.535751305282555
70000000,30000000000,18000,1,0,0,0.375,0.625,0,1.4566991396761133
70000000,30000000000,12000,1,0,0,0.25,0.75,0,1.576401189271255
70000000,30000000000,18000,0,1,0,0.375,0.625,0,3.6000412699631448
70000000,30000000000,14000,1,0,0,0.25,0.75,0,1.5494369939271255
70000000,30000000000,13000,1,0,0,0.625,0.375,0,1.3959130661690284
70000000,30000000000,27000,0,1,0,0.5,0.5,0,3.572260826167076
70000000,30000000000,22000,0,1,0,0.375,0.625,0,3.5592127994471743
70000000,30000000000,24000,1,0,0,0.75,0.25,0,1.2706303770242915
70000000,30000000000,13000,0,1,0,0.25,0.75,0,3.6092118396805897
70000000,30000000000,20000,1,0,0,0.25,0.75,0,1.481441358805668
70000000,30000000000,16000,0,1,0,0.375,0.625,0,3.6113425214987713
70000000,30000000000,14000,0,1,0,0.5,0.5,0,3.673736947174447
70000000,30000000000,22000,0,1,0,0.5,0.5,0,3.5920416154791153
70000000,30000000000,13000,0,1,0,0.375,0.625,0,3.6430868012899262
70000000,30000000000,20000,1,0,0,0.625,0.375,0,1.328846549215587
70000000,30000000000,16000,0,1,0,0.25,0.75,0,3.570288505835381
70000000,30000000000,22000,1,0,0,0.5,0.5,0,1.3486328125
70000000,30000000000,16000,1,0,0,0.375,0.625,0,1.4647488613360324
70000000,30000000000,24000,1,0,0,0.375,0.625,0,1.3983188891700404
70000000,30000000000,10000,1,0,0,0.25,0.75,0,1.620832806174089
70000000,30000000000,22000,0,1,0,0.25,0.75,0,3.5239701704545454
70000000,30000000000,18000,1,0,0,0.5,0.5,0,1.381837914347166
70000000,30000000000,22000,1,0,0,0.25,0.75,0,1.4690267586032388
70000000,30000000000,10000,1,0,0,0.625,0.375,0,1.4469295609817814
70000000,30000000000,24000,1,0,0,0.625,0.375,0,1.3063243294534412
