N,D,uD,loss
1517300000.0,8800000000.0,8800000000.0,3.022525
1517300000.0,8800000000.0,4800000000.0,3.022745
1517300000.0,8800000000.0,1500000000.0,3.070052
1517300000.0,8800000000.0,400000000.0,3.479142
1517300000.0,8800000000.0,100000000.0,7.679766
1517300000.0,66000000000.0,66000000000.0,2.592968
1517300000.0,66000000000.0,12000000000.0,2.626113
1517300000.0,66000000000.0,1500000000.0,2.992921
1517300000.0,66000000000.0,100000000.0,11.01838
1517300000.0,91000000000.0,1500000000.0,3.034805
1517300000.0,174000000000.0,1500000000.0,3.099245
