N,D,step,val_github,val_pilecc,val_books3,r_github,r_pilecc,r_books3,loss
410000000,30000000000,60000,0,0,1,0.75,0.125,0.125,3.172437714367378
410000000,30000000000,30000,1,0,0,0.5,0.0,0.5,1.1187492092611335
410000000,30000000000,60000,0,0,1,0.375,0.375,0.25,3.0180812928734757
410000000,30000000000,60000,0,0,1,0.125,0.25,0.625,2.9826347537157014
410000000,30000000000,60000,1,0,0,0.375,0.0,0.625,1.0748819822241902
410000000,30000000000,60000,0,1,0,0.5,0.25,0.25,3.2079490989263806
410000000,30000000000,60000,0,1,0,0.375,0.5,0.125,3.2697241660276073
410000000,30000000000,60000,1,0,0,0.75,0.0,0.25,0.9652322004681174
410000000,30000000000,60000,1,0,0,0.5,0.0,0.5,1.0315351602036944
410000000,30000000000,60000,0,1,0,0.125,0.625,0.25,3.1964328508435584
410000000,30000000000,60000,0,0,1,0.625,0.125,0.25,3.125276891196646
410000000,30000000000,60000,0,0,1,0.5,0.375,0.125,3.0464388219321648
410000000,30000000000,60000,1,0,0,0.375,0.125,0.5,1.0814362190030364
410000000,30000000000,60000,0,1,0,0.75,0.125,0.125,3.326724261886503
410000000,30000000000,60000,1,0,0,0.0,0.125,0.875,2.185768281882591
410000000,30000000000,60000,0,1,0,0.75,0.0,0.25,3.248880847392638
410000000,30000000000,60000,0,1,0,0.375,0.375,0.25,3.2034317484662576
410000000,30000000000,60000,0,0,1,0.375,0.25,0.375,3.0248576838795733
410000000,30000000000,60000,0,0,1,0.375,0.5,0.125,2.9966951695884148
410000000,30000000000,60000,0,0,1,0.0,0.5,0.5,2.9615091463414633
410000000,30000000000,60000,1,0,0,0.0,0.375,0.625,2.2137248545040484
410000000,30000000000,60000,0,1,0,0.5,0.0,0.5,3.10989263803681
410000000,30000000000,30000,1,0,0,0.0,0.25,0.75,2.509271413208502
410000000,30000000000,60000,0,0,1,0.0,0.25,0.75,2.970974061547256
410000000,30000000000,30000,1,0,0,0.375,0.125,0.5,1.1778806616902835
410000000,30000000000,60000,0,1,0,0.125,0.5,0.375,3.1448631614263802
410000000,30000000000,60000,0,0,1,0.125,0.5,0.375,2.968745534012957
410000000,30000000000,60000,0,1,0,0.625,0.25,0.125,3.3059887845092026
410000000,30000000000,60000,0,0,1,0.375,0.125,0.5,3.0555360375381095
410000000,30000000000,60000,1,0,0,0.5,0.25,0.25,1.044514150272014
410000000,30000000000,30000,1,0,0,0.0,0.625,0.375,2.494842405743927
410000000,30000000000,60000,0,1,0,0.0,0.125,0.875,3.0020525786042946
410000000,30000000000,30000,1,0,0,0.125,0.625,0.25,1.3996216314524292
410000000,30000000000,60000,0,0,1,0.25,0.375,0.375,2.9880252000762195
410000000,30000000000,60000,0,1,0,0.125,0.375,0.5,3.085921922929448
410000000,30000000000,60000,0,0,1,0.25,0.125,0.625,3.0290616663490852
410000000,30000000000,60000,0,1,0,0.375,0.125,0.5,3.09260089148773
410000000,30000000000,60000,0,0,1,0.0,0.625,0.375,2.965984065358232
410000000,30000000000,60000,0,1,0,0.0,0.625,0.375,3.1653338286042945
410000000,30000000000,60000,1,0,0,0.5,0.375,0.125,1.0533798155996963
410000000,30000000000,60000,0,0,1,0.25,0.25,0.5,3.0011611566310976
410000000,30000000000,30000,1,0,0,0.625,0.125,0.25,1.08768602131832
410000000,30000000000,60000,0,1,0,0.0,0.25,0.75,3.0283418807515337
410000000,30000000000,30000,1,0,0,0.375,0.5,0.125,1.2026149734311742
410000000,30000000000,60000,0,1,0,0.5,0.375,0.125,3.292016152223926
410000000,30000000000,60000,1,0,0,0.25,0.125,0.625,1.1408147773279351
410000000,30000000000,60000,0,1,0,0.0,0.0,1.0,3.0011023773006134
410000000,30000000000,60000,1,0,0,0.25,0.25,0.5,1.1520343734185223
410000000,30000000000,60000,0,1,0,0.125,0.25,0.625,3.052737969708589
410000000,30000000000,60000,1,0,0,0.125,0.375,0.5,1.2529632939018218
410000000,30000000000,60000,0,0,1,0.125,0.375,0.5,2.963758515148628
410000000,30000000000,60000,0,1,0,0.25,0.375,0.375,3.1366840011503068
410000000,30000000000,60000,1,0,0,0.25,0.5,0.25,1.1750676081730769
410000000,30000000000,60000,1,0,0,0.125,0.125,0.75,1.2367719271887652
410000000,30000000000,60000,0,1,0,0.5,0.125,0.375,3.145511407208589
410000000,30000000000,60000,0,0,1,0.5,0.25,0.25,3.0574802305640243
410000000,30000000000,60000,0,1,0,0.375,0.0,0.625,3.066437404141104
410000000,30000000000,60000,0,0,1,0.625,0.25,0.125,3.0929729182545733
410000000,30000000000,60000,0,0,1,0.5,0.0,0.5,3.2394811118521343
410000000,30000000000,60000,1,0,0,0.125,0.25,0.625,1.2467609359185223
410000000,30000000000,60000,1,0,0,0.25,0.375,0.375,1.1598577460779351
410000000,30000000000,60000,0,0,1,0.25,0.625,0.125,2.9793165253429876
410000000,30000000000,60000,0,1,0,0.25,0.5,0.25,3.191545245398773
410000000,30000000000,60000,0,0,1,0.375,0.0,0.625,3.2011554997141767
410000000,30000000000,60000,0,1,0,0.625,0.0,0.375,3.172266823236196
410000000,30000000000,60000,0,0,1,0.75,0.0,0.25,3.361797053639482
410000000,30000000000,30000,1,0,0,0.75,0.0,0.25,1.0560930383350202
410000000,30000000000,60000,0,0,1,0.625,0.0,0.375,3.294091201410061
410000000,30000000000,60000,1,0,0,0.75,0.125,0.125,0.9682849467042004
410000000,30000000000,60000,0,1,0,0.0,0.5,0.5,3.113416650690184
410000000,30000000000,60000,1,0,0,0.125,0.625,0.25,1.28365186930668
410000000,30000000000,60000,1,0,0,0.0,0.625,0.375,2.26472751138664
410000000,30000000000,60000,0,0,1,0.0,0.125,0.875,3.0041146627286586
410000000,30000000000,60000,0,1,0,0.625,0.125,0.25,3.2183210314417177
410000000,30000000000,60000,0,1,0,0.25,0.125,0.625,3.0501977089723926
410000000,30000000000,60000,0,1,0,0.25,0.0,0.75,3.02313794095092
410000000,30000000000,60000,0,0,1,0.125,0.625,0.25,2.9623532178925305
410000000,30000000000,60000,0,1,0,0.25,0.25,0.5,3.09027990797546
410000000,30000000000,60000,1,0,0,0.625,0.125,0.25,1.0020430715460527
410000000,30000000000,60000,1,0,0,0.625,0.0,0.375,0.9985588784159919
410000000,30000000000,60000,1,0,0,0.25,0.625,0.125,1.174045578188259
410000000,30000000000,60000,1,0,0,0.375,0.5,0.125,1.1010396239245952
410000000,30000000000,60000,1,0,0,0.375,0.375,0.25,1.104219382591093
410000000,30000000000,60000,0,1,0,0.0,0.375,0.625,3.077565423696319
410000000,30000000000,60000,1,0,0,0.0,0.0,1.0,3.3230365953947367
410000000,30000000000,60000,0,0,1,0.125,0.125,0.75,3.009342844893293
410000000,30000000000,60000,0,0,1,0.0,0.0,1.0,3.2022154273056405
410000000,30000000000,60000,1,0,0,0.0,0.25,0.75,2.279808878415992
410000000,30000000000,60000,0,0,1,0.125,0.0,0.875,3.1394638433689024
410000000,30000000000,60000,1,0,0,0.5,0.125,0.375,1.0369601230389676
410000000,30000000000,60000,0,0,1,0.25,0.5,0.25,2.9786972418064024
410000000,30000000000,60000,0,1,0,0.125,0.125,0.75,3.018190423696319
410000000,30000000000,60000,0,0,1,0.25,0.0,0.75,3.1623564929496952
410000000,30000000000,60000,1,0,0,0.125,0.5,0.375,1.268539861146255
410000000,30000000000,60000,1,0,0,0.125,0.0,0.875,1.2276804070723684
410000000,30000000000,60000,0,1,0,0.375,0.25,0.375,3.1391403853527606
410000000,30000000000,60000,0,1,0,0.125,0.0,0.875,2.9952765529141105
410000000,30000000000,60000,1,0,0,0.0,0.5,0.5,2.2222925101214575
410000000,30000000000,60000,0,1,0,0.25,0.625,0.125,3.27063482553681
410000000,30000000000,60000,0,0,1,0.5,0.125,0.375,3.0851187357088414
410000000,30000000000,60000,0,0,1,0.0,0.375,0.625,2.972791718273628
