N,D,step,val_prose,val_academic,val_dialogue,val_symbolic,val_internet,r_academic,r_prose,r_dialogue,r_symbolic,r_internet,loss
410000000,30000000000,16000,1,0,0,0,0,0.5,0.1875,0.09375,0.125,0.09375,3.3314521603467986
410000000,30000000000,22000,0,0,0,1,0,0.5,0,0.0625,0.25,0.1875,1.2422428517206479
410000000,30000000000,10000,0,0,0,0,1,0.125,0,0,0.125,0.75,3.152258174935567
410000000,30000000000,16000,0,0,1,0,0,0.5,0.1875,0.09375,0.125,0.09375,3.3421052631578947
410000000,30000000000,9000,0,0,0,1,0,0,0.1875,0,0.0625,0.75,1.7230595268218623
410000000,30000000000,27000,0,0,0,0,1,0.25,0.09375,0.03125,0.25,0.375,3.2177098529637593
410000000,30000000000,9000,0,0,0,0,1,0.125,0,0.0625,0.0625,0.75,3.192760349548969
410000000,30000000000,20000,0,1,0,0,0,0.25,0.09375,0.03125,0.25,0.375,3.534405048076923
410000000,30000000000,30000,0,0,0,0,1,0.5,0,0.0625,0.0625,0.375,2.8739328286082473
410000000,30000000000,9000,1,0,0,0,0,0.125,0.09375,0.03125,0,0.75,3.3709309895833335
410000000,30000000000,20000,0,0,1,0,0,0.5,0.09375,0.09375,0.125,0.1875,2.37480712890625
410000000,30000000000,24000,0,0,1,0,0,0,0,0,0.25,0.75,3.05078125
410000000,30000000000,20000,0,1,0,0,0,0,0,0,0.25,0.75,2.5867568507339014
410000000,30000000000,30000,0,1,0,0,0,0,0,0,0.25,0.75,3.5297475961538463
410000000,30000000000,20000,0,0,1,0,0,0,0,0,0.25,0.75,2.6582275390625
410000000,30000000000,10000,0,0,0,0,1,0.125,0.09375,0.03125,0,0.75,3.420153418688575
410000000,30000000000,12000,0,1,0,0,0,0,0,0,0.25,0.75,2.7471479936079546
410000000,30000000000,10000,0,0,0,1,0,0,0.09375,0.09375,0.0625,0.75,1.6398228236607142
410000000,30000000000,10000,0,0,0,0,1,0.5,0.1875,0.0625,0.0625,0.1875,3.637354595362408
410000000,30000000000,20000,0,1,0,0,0,0.5,0.09375,0.03125,0,0.375,2.272398603723404
410000000,30000000000,16000,0,0,0,0,1,0.5,0.1875,0.0625,0.25,0,3.773371010638298
410000000,30000000000,9000,0,0,1,0,0,0,0.1875,0,0.0625,0.75,3.6146175986842106
410000000,30000000000,20000,0,0,1,0,0,0,0.09375,0.03125,0.125,0.75,2.429106212797619
410000000,30000000000,30000,0,1,0,0,0,0.125,0,0,0.125,0.75,2.01544189453125
410000000,30000000000,27000,0,1,0,0,0,0,0.09375,0.03125,0.125,0.75,3.4581580528846154
410000000,30000000000,24000,0,0,0,0,1,0,0,0,0.25,0.75,2.8290864610180413
410000000,30000000000,27000,0,1,0,0,0,0.0625,0.1875,0,0,0.75,2.725223025760135
410000000,30000000000,18000,0,0,0,0,1,0.125,0.09375,0.03125,0,0.75,3.2341014665233416
410000000,30000000000,12000,0,0,1,0,0,0,0.1875,0,0.0625,0.75,3.5252364309210527
410000000,30000000000,10000,0,0,1,0,0,0,0.09375,0.09375,0.0625,0.75,3.0426432291666665
410000000,30000000000,10000,1,0,0,0,0,0,0.1875,0.0625,0,0.75,3.46527099609375
410000000,30000000000,12000,1,0,0,0,0,0.5,0,0,0.125,0.375,3.7558186848958335
410000000,30000000000,16000,0,0,1,0,0,0.5,0.09375,0.03125,0,0.375,3.0562220982142856
410000000,30000000000,18000,0,1,0,0,0,0.5,0.1875,0,0.125,0.1875,2.6306284311655403
410000000,30000000000,20000,0,0,1,0,0,0.0625,0,0.0625,0.125,0.75,2.7344912574404763
410000000,30000000000,27000,0,1,0,0,0,0,0.1875,0.0625,0,0.75,3.442608173076923
410000000,30000000000,9000,0,1,0,0,0,0.125,0.1875,0.0625,0.25,0.375,3.9203725961538463
410000000,30000000000,24000,0,0,0,0,1,0.0625,0.09375,0.09375,0,0.75,3.054026761968085
410000000,30000000000,16000,0,0,0,1,0,0,0.1875,0,0.0625,0.75,1.4927222371584008
410000000,30000000000,12000,1,0,0,0,0,0.25,0.09375,0.03125,0.25,0.375,3.5398763020833335
410000000,30000000000,30000,0,0,1,0,0,0.5,0.1875,0,0.125,0.1875,3.3925316220238093
410000000,30000000000,20000,0,1,0,0,0,0.0625,0.09375,0.03125,0.0625,0.75,2.7986169763513513
410000000,30000000000,12000,0,1,0,0,0,0.125,0.09375,0.03125,0,0.75,2.2429495146780303
410000000,30000000000,18000,0,0,1,0,0,0,0,0,0.25,0.75,3.220703125
410000000,30000000000,24000,0,0,1,0,0,0,0.1875,0,0.0625,0.75,3.1007764862804876
410000000,30000000000,12000,0,0,1,0,0,0.5,0.09375,0.0625,0.25,0.09375,2.6762462797619047
410000000,30000000000,10000,0,0,1,0,0,0.0625,0.09375,0.09375,0,0.75,2.9997674851190474
410000000,30000000000,16000,0,1,0,0,0,0.5,0.09375,0.0625,0.25,0.09375,3.6177133413461537
410000000,30000000000,22000,0,0,0,1,0,0,0.1875,0,0.0625,0.75,1.5438929966517858
410000000,30000000000,30000,0,0,0,0,1,0.125,0.09375,0.03125,0,0.75,2.1678150950611887
410000000,30000000000,14000,0,1,0,0,0,0.125,0.1875,0.0625,0.25,0.375,2.911726668074324
410000000,30000000000,18000,0,0,0,0,1,0,0.09375,0.03125,0.125,0.75,2.90930049935567
410000000,30000000000,12000,0,1,0,0,0,0.5,0.1875,0.0625,0.25,0,2.5288951684397163
410000000,30000000000,27000,0,0,1,0,0,0.5,0.1875,0,0.125,0.1875,3.4274773848684212
410000000,30000000000,9000,0,0,1,0,0,0,0.09375,0.03125,0.125,0.75,3.2714378720238093
410000000,30000000000,30000,0,0,0,0,1,0.0625,0.09375,0.09375,0,0.75,2.168023382867133
410000000,30000000000,18000,0,0,1,0,0,0.0625,0.09375,0.09375,0,0.75,2.6486932663690474
410000000,30000000000,27000,0,0,1,0,0,0.25,0,0,0,0.75,3.4067615327380953
410000000,30000000000,24000,1,0,0,0,0,0.125,0,0.0625,0.0625,0.75,3.1948784722222223
410000000,30000000000,14000,0,0,0,1,0,0.25,0.1875,0.0625,0.125,0.375,1.5242658342633928
410000000,30000000000,22000,0,0,1,0,0,0.25,0.1875,0.0625,0.125,0.375,3.1668379934210527
410000000,30000000000,20000,0,0,1,0,0,0.5,0.09375,0.09375,0.125,0.1875,2.6302548363095237
410000000,30000000000,18000,0,0,1,0,0,0.5,0.1875,0.09375,0.125,0.09375,2.9860899390243905
410000000,30000000000,20000,0,0,1,0,0,0.5,0,0.0625,0.25,0.1875,2.497021484375
410000000,30000000000,18000,0,0,1,0,0,0.25,0.09375,0.03125,0.25,0.375,3.005549733231707
410000000,30000000000,16000,0,1,0,0,0,0.125,0,0.0625,0.0625,0.75,2.476853358892747
410000000,30000000000,18000,0,1,0,0,0,0.5,0,0.0625,0.25,0.1875,3.0337890625
410000000,30000000000,24000,0,1,0,0,0,0.5,0.09375,0.0625,0.25,0.09375,1.8942390210700757
410000000,30000000000,27000,0,0,0,1,0,0,0.09375,0.09375,0.0625,0.75,1.5427769252232142
410000000,30000000000,9000,0,0,1,0,0,0.0625,0.09375,0.09375,0,0.75,3.026460193452381
410000000,30000000000,27000,0,0,0,1,0,0.0625,0.09375,0.03125,0.0625,0.75,1.5341273716517858
410000000,30000000000,14000,0,1,0,0,0,0.0625,0,0.0625,0.125,0.75,3.4212890625
410000000,30000000000,14000,0,0,1,0,0,0.5,0.1875,0.0625,0.0625,0.1875,3.371556332236842
410000000,30000000000,24000,0,0,1,0,0,0.5,0.1875,0.0625,0.0625,0.1875,2.765625
410000000,30000000000,22000,0,0,1,0,0,0.5,0.09375,0.09375,0.125,0.1875,2.3416064453125
410000000,30000000000,10000,1,0,0,0,0,0,0.1875,0.0625,0,0.75,3.3663300304878048
410000000,30000000000,22000,1,0,0,0,0,0.0625,0.09375,0.09375,0,0.75,3.151127512862043
410000000,30000000000,22000,0,0,0,1,0,0.0625,0.09375,0.09375,0,0.75,2.4050816127232144
410000000,30000000000,30000,0,0,0,0,1,0.5,0,0.0625,0.0625,0.375,3.19995777027027
410000000,30000000000,10000,0,0,0,1,0,0.25,0.1875,0.0625,0.125,0.375,1.5713958122469636
410000000,30000000000,24000,0,0,0,0,1,0.125,0,0.0625,0.0625,0.75,3.1483895116707616
410000000,30000000000,10000,0,0,0,1,0,0.5,0,0.0625,0.25,0.1875,1.446539133666498
410000000,30000000000,18000,0,0,1,0,0,0,0.1875,0.0625,0,0.75,2.8597005208333335
410000000,30000000000,12000,1,0,0,0,0,0.0625,0.09375,0.03125,0.0625,0.75,3.2865668402777777
410000000,30000000000,16000,0,1,0,0,0,0.5,0.09375,0.0625,0.25,0.09375,1.9824375961766099
410000000,30000000000,10000,0,1,0,0,0,0,0.1875,0.0625,0,0.75,3.79140625
410000000,30000000000,30000,0,0,1,0,0,0.5,0.1875,0,0.125,0.1875,3.396073190789474
410000000,30000000000,24000,0,1,0,0,0,0.0625,0,0.0625,0.125,0.75,2.4256614402488426
410000000,30000000000,10000,0,0,0,0,1,0.25,0,0,0,0.75,3.107240657216495
410000000,30000000000,22000,0,1,0,0,0,0.25,0,0,0,0.75,2.34046016179078
410000000,30000000000,10000,0,0,0,1,0,0.0625,0,0.0625,0.125,0.75,1.5649152483258928
410000000,30000000000,9000,0,0,1,0,0,0.0625,0.1875,0,0,0.75,3.4541015625
410000000,30000000000,27000,0,0,1,0,0,0,0.09375,0.03125,0.125,0.75,2.8777153201219514
410000000,30000000000,18000,0,0,1,0,0,0.5,0.09375,0.09375,0.125,0.1875,2.4259033203125
410000000,30000000000,9000,0,0,1,0,0,0,0.1875,0,0.0625,0.75,3.061962890625
410000000,30000000000,20000,0,1,0,0,0,0.25,0,0,0,0.75,3.060546875
410000000,30000000000,16000,1,0,0,0,0,0,0.1875,0.0625,0,0.75,3.1529405381944446
410000000,30000000000,22000,0,1,0,0,0,0.25,0.1875,0.0625,0.125,0.375,2.2987949701003085
410000000,30000000000,10000,0,0,0,0,1,0,0,0,0.25,0.75,3.4446274666001226
410000000,30000000000,30000,0,0,0,0,1,0.25,0.1875,0.0625,0.125,0.375,3.1786593500460687
410000000,30000000000,27000,1,0,0,0,0,0.25,0.09375,0.03125,0.25,0.375,3.27410888671875
410000000,30000000000,30000,0,0,1,0,0,0,0.1875,0.0625,0,0.75,2.6988932291666665
410000000,30000000000,22000,0,1,0,0,0,0.5,0.1875,0.0625,0.25,0,2.214683250144676
410000000,30000000000,16000,0,0,1,0,0,0.25,0.09375,0.03125,0.25,0.375,3.0825427827380953
410000000,30000000000,30000,0,0,0,0,1,0.5,0.1875,0.0625,0.0625,0.1875,3.1979014295212767
410000000,30000000000,14000,0,1,0,0,0,0.25,0.1875,0.0625,0.125,0.375,2.80834301097973
410000000,30000000000,22000,0,0,0,1,0,0.125,0,0,0.125,0.75,1.4718017578125
410000000,30000000000,20000,0,1,0,0,0,0.25,0.1875,0.0625,0.125,0.375,2.3971354166666665
410000000,30000000000,12000,0,0,1,0,0,0,0.09375,0.03125,0.125,0.75,3.082821800595238
410000000,30000000000,18000,0,0,1,0,0,0.5,0,0,0.125,0.375,3.6357421875
410000000,30000000000,16000,0,1,0,0,0,0.25,0.1875,0.0625,0.125,0.375,2.996944304435484
410000000,30000000000,18000,0,1,0,0,0,0.0625,0.09375,0.03125,0.0625,0.75,2.82689769847973
410000000,30000000000,12000,0,1,0,0,0,0.5,0,0.0625,0.25,0.1875,2.3620801384066357
410000000,30000000000,9000,0,0,0,0,1,0.5,0.09375,0.03125,0,0.375,2.640625
410000000,30000000000,14000,0,0,1,0,0,0.25,0.09375,0.03125,0.25,0.375,3.3528988486842106
410000000,30000000000,12000,1,0,0,0,0,0.5,0.1875,0.0625,0.0625,0.1875,3.37451171875
410000000,30000000000,30000,0,0,0,1,0,0.5,0.1875,0.09375,0.125,0.09375,1.2924992487980769
410000000,30000000000,18000,0,0,1,0,0,0,0.09375,0.09375,0.0625,0.75,2.8092447916666665
410000000,30000000000,14000,0,0,0,1,0,0.125,0.09375,0.03125,0,0.75,1.8572716346153846
410000000,30000000000,24000,1,0,0,0,0,0,0.09375,0.03125,0.125,0.75,3.100368923611111
410000000,30000000000,22000,0,0,1,0,0,0.125,0,0,0.125,0.75,3.0481770833333335
410000000,30000000000,27000,0,1,0,0,0,0.0625,0.1875,0,0,0.75,3.20078125
410000000,30000000000,10000,0,0,0,0,1,0.5,0.09375,0.03125,0,0.375,3.516668051861702
410000000,30000000000,18000,0,1,0,0,0,0.5,0,0,0.125,0.375,2.599747941300676
410000000,30000000000,18000,0,1,0,0,0,0.5,0.09375,0.03125,0,0.375,2.237025884934414
410000000,30000000000,14000,0,0,1,0,0,0.25,0.09375,0.03125,0.25,0.375,3.1695033482142856
410000000,30000000000,10000,0,1,0,0,0,0.25,0.1875,0.0625,0.125,0.375,2.5531141493055554
410000000,30000000000,27000,0,0,0,0,1,0.125,0.09375,0.03125,0,0.75,2.7693752013530926
410000000,30000000000,12000,0,0,1,0,0,0.125,0.09375,0.03125,0,0.75,2.986049107142857
410000000,30000000000,18000,0,1,0,0,0,0,0.09375,0.03125,0.125,0.75,2.998614804964539
410000000,30000000000,10000,0,1,0,0,0,0.5,0.1875,0.0625,0.25,0,2.4507152416087963
410000000,30000000000,14000,0,0,0,1,0,0.25,0.09375,0.03125,0.25,0.375,1.3570551698507085
410000000,30000000000,20000,0,1,0,0,0,0.5,0.1875,0.09375,0.125,0.09375,2.7831873739919355
410000000,30000000000,9000,0,0,1,0,0,0.5,0,0.0625,0.25,0.1875,2.849775390625
410000000,30000000000,20000,0,1,0,0,0,0.5,0.09375,0.09375,0.125,0.1875,3.01015625
410000000,30000000000,27000,1,0,0,0,0,0.0625,0.1875,0,0,0.75,3.0328776041666665
410000000,30000000000,24000,0,1,0,0,0,0,0.09375,0.09375,0.0625,0.75,3.4735576923076925
410000000,30000000000,12000,0,1,0,0,0,0.5,0.09375,0.09375,0.125,0.1875,3.1751953125
410000000,30000000000,27000,0,1,0,0,0,0.5,0.09375,0.03125,0,0.375,2.8984375
410000000,30000000000,20000,0,0,0,0,1,0,0,0,0.25,0.75,2.8814735019329896
410000000,30000000000,18000,0,0,0,1,0,0.5,0.1875,0.09375,0.125,0.09375,1.5331769670758928
410000000,30000000000,22000,1,0,0,0,0,0.25,0.09375,0.03125,0.25,0.375,3.2214578768102133
410000000,30000000000,30000,0,1,0,0,0,0,0.09375,0.09375,0.0625,0.75,2.543105616714015
410000000,30000000000,9000,1,0,0,0,0,0,0.1875,0.0625,0,0.75,3.3536783854166665
410000000,30000000000,16000,0,0,1,0,0,0.5,0.09375,0.0625,0.25,0.09375,2.5394482421875
410000000,30000000000,24000,0,0,0,0,1,0.5,0.1875,0.0625,0.25,0,2.5720675808566433
410000000,30000000000,20000,0,0,1,0,0,0,0.09375,0.09375,0.0625,0.75,2.602329799107143
410000000,30000000000,30000,0,0,0,0,1,0.5,0.09375,0.03125,0,0.375,2.8392547922036084
410000000,30000000000,30000,0,0,1,0,0,0.5,0,0.0625,0.0625,0.375,2.6349981398809526
410000000,30000000000,16000,0,0,1,0,0,0.5,0.1875,0.0625,0.0625,0.1875,2.548310546875
