h,ffnh,numh,numl,lr,bs,ti,D,N,loss
1280,9048,10,13,0.0009766,32,152587,10000000000,536872960,2.414395
1280,9048,10,13,0.001953,2048,2384,10000000000,536872960,2.499986
1280,9048,10,13,0.0003453,64,76293,10000000000,536872960,2.416894
1280,9048,10,13,0.0006905,2048,2384,10000000000,536872960,2.536239
1280,9048,10,13,0.01562,32,152587,10000000000,536872960,7.153533
1280,9048,10,13,0.0009766,512,9536,10000000000,536872960,2.410264
1280,9048,10,13,0.003906,512,9536,10000000000,536872960,2.436797
1280,9048,10,13,0.003906,192,25431,10000000000,536872960,2.441714
1280,9048,10,13,0.01105,128,38146,10000000000,536872960,2.572016
1280,9048,10,13,0.0006905,256,19073,10000000000,536872960,2.437184
1280,9048,10,13,0.01562,512,9536,10000000000,536872960,6.70623
1280,9048,10,13,0.003906,64,76293,10000000000,536872960,2.450999
1280,9048,10,13,0.0009766,352,13871,10000000000,536872960,2.425091
1280,9048,10,13,0.0004883,32,152587,10000000000,536872960,2.405951
1280,9048,10,13,0.005524,1024,4768,10000000000,536872960,2.505063
1280,9048,10,13,0.0004883,192,25431,10000000000,536872960,2.422765
1280,9048,10,13,0.002762,1024,4768,10000000000,536872960,2.453665
1280,9048,10,13,0.005524,192,25431,10000000000,536872960,2.465735
1280,9048,10,13,0.007812,256,19073,10000000000,536872960,2.570512
1280,9048,10,13,0.001381,352,13871,10000000000,536872960,2.421607
1280,9048,10,13,0.01562,2048,2384,10000000000,536872960,6.605291
1280,9048,10,13,0.0003453,2048,2384,10000000000,536872960,2.592759
1280,9048,10,13,0.003906,352,13871,10000000000,536872960,2.459458
1280,9048,10,13,0.01105,2048,2384,10000000000,536872960,6.911286
1280,9048,10,13,0.007812,352,13871,10000000000,536872960,2.498489
1280,9048,10,13,0.0003453,512,9536,10000000000,536872960,2.446125
1280,9048,10,13,0.002762,192,25431,10000000000,536872960,2.41874
1280,9048,10,13,0.0003453,1024,4768,10000000000,536872960,2.501071
1280,9048,10,13,0.002762,736,6634,10000000000,536872960,2.446062
1280,9048,10,13,0.003906,256,19073,10000000000,536872960,2.45221
1280,9048,10,13,0.005524,32,152587,10000000000,536872960,2.57752
1280,9048,10,13,0.0009766,1024,4768,10000000000,536872960,2.452209
1280,9048,10,13,0.002762,64,76293,10000000000,536872960,2.42526
1280,9048,10,13,0.007812,192,25431,10000000000,536872960,2.475198
1280,9048,10,13,0.0004883,128,38146,10000000000,536872960,2.417292
1280,9048,10,13,0.003906,32,152587,10000000000,536872960,2.510717
1280,9048,10,13,0.001381,192,25431,10000000000,536872960,2.404561
1280,9048,10,13,0.001953,32,152587,10000000000,536872960,2.435606
1280,9048,10,13,0.01562,256,19073,10000000000,536872960,6.782632
1280,9048,10,13,0.01105,32,152587,10000000000,536872960,4.946607
1280,9048,10,13,0.0009766,128,38146,10000000000,536872960,2.404803
1280,9048,10,13,0.001381,256,19073,10000000000,536872960,2.426718
1280,9048,10,13,0.001953,128,38146,10000000000,536872960,2.404781
1280,9048,10,13,0.001381,2048,2384,10000000000,536872960,2.516848
1280,9048,10,13,0.005524,512,9536,10000000000,536872960,2.460861
1280,9048,10,13,0.001953,1024,4768,10000000000,536872960,2.439816
1280,9048,10,13,0.007812,736,6634,10000000000,536872960,2.531749
1280,9048,10,13,0.007812,128,38146,10000000000,536872960,2.531383
1280,9048,10,13,0.005524,128,38146,10000000000,536872960,2.465652
1280,9048,10,13,0.0003453,736,6634,10000000000,536872960,2.478698
1280,9048,10,13,0.003906,1024,4768,10000000000,536872960,2.486271
1280,9048,10,13,0.007812,512,9536,10000000000,536872960,2.480116
1280,9048,10,13,0.003906,736,6634,10000000000,536872960,2.466904
1280,9048,10,13,0.0006905,128,38146,10000000000,536872960,2.411741
1280,9048,10,13,0.005524,256,19073,10000000000,536872960,2.485236
1280,9048,10,13,0.002762,128,38146,10000000000,536872960,2.411851
1280,9048,10,13,0.01562,128,38146,10000000000,536872960,6.790793
1280,9048,10,13,0.001953,192,25431,10000000000,536872960,2.403655
1280,9048,10,13,0.0009766,256,19073,10000000000,536872960,2.431983
1280,9048,10,13,0.01105,1024,4768,10000000000,536872960,6.859641
1280,9048,10,13,0.001381,1024,4768,10000000000,536872960,2.443894
1280,9048,10,13,0.0004883,64,76293,10000000000,536872960,2.407917
1280,9048,10,13,0.005524,64,76293,10000000000,536872960,2.528779
1280,9048,10,13,0.01562,192,25431,10000000000,536872960,6.630423
1280,9048,10,13,0.01562,736,6634,10000000000,536872960,6.812342
1280,9048,10,13,0.0009766,64,76293,10000000000,536872960,2.397004
1280,9048,10,13,0.002762,32,152587,10000000000,536872960,2.462123
1280,9048,10,13,0.005524,352,13871,10000000000,536872960,2.471794
1280,9048,10,13,0.007812,32,152587,10000000000,536872960,2.661579
1280,9048,10,13,0.005524,736,6634,10000000000,536872960,2.49001
1280,9048,10,13,0.007812,1024,4768,10000000000,536872960,2.546403
1280,9048,10,13,0.0004883,512,9536,10000000000,536872960,2.432522
1280,9048,10,13,0.0003453,128,38146,10000000000,536872960,2.425556
1280,9048,10,13,0.01105,736,6634,10000000000,536872960,6.616936
1280,9048,10,13,0.0004883,352,13871,10000000000,536872960,2.445285
1280,9048,10,13,0.0004883,256,19073,10000000000,536872960,2.443535
1280,9048,10,13,0.0003453,352,13871,10000000000,536872960,2.46044
1280,9048,10,13,0.001953,256,19073,10000000000,536872960,2.438773
1280,9048,10,13,0.0006905,736,6634,10000000000,536872960,2.446677
1280,9048,10,13,0.0003453,256,19073,10000000000,536872960,2.458564
1280,9048,10,13,0.001381,64,76293,10000000000,536872960,2.403389
1280,9048,10,13,0.01562,64,76293,10000000000,536872960,6.962783
1280,9048,10,13,0.003906,2048,2384,10000000000,536872960,2.568378
1280,9048,10,13,0.001381,512,9536,10000000000,536872960,2.405013
1280,9048,10,13,0.001953,736,6634,10000000000,536872960,2.432185
1280,9048,10,13,0.002762,512,9536,10000000000,536872960,2.42058
1280,9048,10,13,0.001953,64,76293,10000000000,536872960,2.41042
1280,9048,10,13,0.01105,352,13871,10000000000,536872960,6.489928
1280,9048,10,13,0.0009766,192,25431,10000000000,536872960,2.408832
1280,9048,10,13,0.01105,192,25431,10000000000,536872960,7.055141
1280,9048,10,13,0.002762,2048,2384,10000000000,536872960,2.523633
1280,9048,10,13,0.01105,256,19073,10000000000,536872960,7.080257
1280,9048,10,13,0.0009766,736,6634,10000000000,536872960,2.430597
1280,9048,10,13,0.01562,1024,4768,10000000000,536872960,6.592252
1280,9048,10,13,0.002762,256,19073,10000000000,536872960,2.443509
1280,9048,10,13,0.0009766,2048,2384,10000000000,536872960,2.521229
1280,9048,10,13,0.01562,352,13871,10000000000,536872960,6.683849
1280,9048,10,13,0.0004883,1024,4768,10000000000,536872960,2.483511
1280,9048,10,13,0.0006905,512,9536,10000000000,536872960,2.419067
1280,9048,10,13,0.007812,64,76293,10000000000,536872960,2.633095
1280,9048,10,13,0.003906,128,38146,10000000000,536872960,2.442486
1280,9048,10,13,0.001953,352,13871,10000000000,536872960,2.432922
1280,9048,10,13,0.01105,512,9536,10000000000,536872960,6.830524
1280,9048,10,13,0.0006905,192,25431,10000000000,536872960,2.413456
1280,9048,10,13,0.01105,64,76293,10000000000,536872960,2.65079
1280,9048,10,13,0.001381,736,6634,10000000000,536872960,2.426755
1280,9048,10,13,0.000691,32,434112,28400000000,536872960,2.195842
1280,9048,10,13,0.000488,64,217056,28400000000,536872960,2.161534
1280,9048,10,13,0.000345,1024,13566,28400000000,536872960,2.3384
1280,9048,10,13,0.000488,1024,13566,28400000000,536872960,2.321766
1280,9048,10,13,0.00276,256,54264,28400000000,536872960,2.288858
1280,9048,10,13,0.00552,1024,13566,28400000000,536872960,2.32289
1280,9048,10,13,0.0156,352,39464,28400000000,536872960,2.525398
1280,9048,10,13,0.000977,256,54264,28400000000,536872960,2.29102
1280,9048,10,13,0.000977,1024,13566,28400000000,536872960,2.302297
1280,9048,10,13,0.000977,352,39464,28400000000,536872960,2.265725
1280,9048,10,13,0.00138,736,18874,28400000000,536872960,2.277797
