h,ffnh,numh,numl,lr,bs,ti,D,N,loss
1280,9472,10,10,0.005524,736,33171,50000000000,429260800,2.2778836983119093
1280,9472,10,10,0.002762,736,33171,50000000000,429260800,2.26677528064734
1280,9472,10,10,0.0004883,1024,23841,50000000000,429260800,2.307012281611546
1280,9472,10,10,0.003906,2048,11920,50000000000,429260800,2.312878249783144
1280,9472,10,10,0.002762,32,762939,50000000000,429260800,2.380411149629176
1280,9472,10,10,0.0009766,352,69358,50000000000,429260800,2.2687204593838177
1280,9472,10,10,0.0009766,192,127156,50000000000,429260800,2.265579835154685
1280,9472,10,10,0.007812,192,127156,50000000000,429260800,2.3113751749255287
1280,9472,10,10,0.007812,736,33171,50000000000,429260800,2.289878505941001
1280,9472,10,10,0.005524,256,95367,50000000000,429260800,2.2793525052386547
1280,9472,10,10,0.001381,736,33171,50000000000,429260800,2.275322265877307
1280,9472,10,10,0.0002441,192,127156,50000000000,429260800,2.2937386730322
1280,9472,10,10,0.0004883,64,381469,50000000000,429260800,2.286109109905815
1280,9472,10,10,0.0009766,32,762939,50000000000,429260800,2.32912824424883
1280,9472,10,10,0.001953,1024,23841,50000000000,429260800,2.27475067491006
1280,9472,10,10,0.003906,32,762939,50000000000,429260800,2.42239361136439
1280,9472,10,10,0.0003453,192,127156,50000000000,429260800,2.2839312983010607
1280,9472,10,10,0.007812,64,381469,50000000000,429260800,2.4041233222345144
1280,9472,10,10,0.001953,512,47683,50000000000,429260800,2.263821538558928
1280,9472,10,10,0.003906,64,381469,50000000000,429260800,2.3307609636361195
1280,9472,10,10,0.001953,192,127156,50000000000,429260800,2.262719853570156
1280,9472,10,10,0.005524,32,762939,50000000000,429260800,2.4745100881318387
1280,9472,10,10,0.001381,32,762939,50000000000,429260800,2.341425826215076
1280,9472,10,10,0.01105,64,381469,50000000000,429260800,2.426248272007878
1280,9472,10,10,0.002762,2048,11920,50000000000,429260800,2.3127788286138573
1280,9472,10,10,0.0002441,512,47683,50000000000,429260800,2.313004729579026
1280,9472,10,10,0.003906,1024,23841,50000000000,429260800,2.280943551219101
1280,9472,10,10,0.0004883,192,127156,50000000000,429260800,2.2761476182743805
1280,9472,10,10,0.0002441,256,95367,50000000000,429260800,2.297887907597928
