step,num_experts,d_model,num_blocks,num_heads,kqv_size,flop_increase,k,seed,routing_frequency,N,dense_parameter_count,flops_per_step,D,router_type_Dense,router_type_Hash,router_type_RL-R,router_type_S-Base,loss
0,1,2048,24,16,128,1.0,1,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,1,0,0,0,10.8544540780513
10000,1,2048,24,16,128,1.0,1,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,1,0,0,0,2.707419571372587
20000,1,2048,24,16,128,1.0,1,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,1,0,0,0,2.5731640181734625
30000,1,2048,24,16,128,1.0,1,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,1,0,0,0,2.5157239815888834
40000,1,2048,24,16,128,1.0,1,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,1,0,0,0,2.4811108700031634
50000,1,2048,24,16,128,1.0,1,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,1,0,0,0,2.455325243910308
60000,1,2048,24,16,128,1.0,1,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,1,0,0,0,2.4338246722024874
70000,1,2048,24,16,128,1.0,1,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,1,0,0,0,2.417719470094133
80000,1,2048,24,16,128,1.0,1,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,1,0,0,0,2.4025942471949726
90000,1,2048,24,16,128,1.0,1,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,1,0,0,0,2.389025383748546
100000,1,2048,24,16,128,1.0,1,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,1,0,0,0,2.377680495202061
110000,1,2048,24,16,128,1.0,1,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,1,0,0,0,2.3654681098780723
120000,1,2048,24,16,128,1.0,1,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,1,0,0,0,2.3538683529621
130000,1,2048,24,16,128,1.0,1,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,1,0,0,0,2.343121190253976
140000,1,2048,24,16,128,1.0,1,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,1,0,0,0,2.3315776499621483
150000,1,2048,24,16,128,1.0,1,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,1,0,0,0,2.319426399602126
160000,1,2048,24,16,128,1.0,1,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,1,0,0,0,2.3092848320760746
170000,1,2048,24,16,128,1.0,1,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,1,0,0,0,2.298308474732324
180000,1,2048,24,16,128,1.0,1,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,1,0,0,0,2.288190761154401
190000,1,2048,24,16,128,1.0,1,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,1,0,0,0,2.279027451418606
200000,1,2048,24,16,128,1.0,1,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,1,0,0,0,2.270223573956879
210000,1,2048,24,16,128,1.0,1,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,1,0,0,0,2.262552439339164
220000,1,2048,24,16,128,1.0,1,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,1,0,0,0,2.2551819628346634
230000,1,2048,24,16,128,1.0,1,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,1,0,0,0,2.249894304877262
240000,1,2048,24,16,128,1.0,1,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,1,0,0,0,2.2445892851802944
249000,1,2048,24,16,128,1.0,1,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,1,0,0,0,2.2420146818345645
0,64,2048,24,16,128,1.0,1,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,0,0,0,1,10.80581182018707
10000,64,2048,24,16,128,1.0,1,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,0,0,0,1,2.5907446484528083
20000,64,2048,24,16,128,1.0,1,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,0,0,0,1,2.453103728180277
30000,64,2048,24,16,128,1.0,1,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,0,0,0,1,2.3868729706929903
40000,64,2048,24,16,128,1.0,1,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,0,0,0,1,2.34861704153597
50000,64,2048,24,16,128,1.0,1,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,0,0,0,1,2.3164016206126443
60000,64,2048,24,16,128,1.0,1,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,0,0,0,1,2.296307546543233
70000,64,2048,24,16,128,1.0,1,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,0,0,0,1,2.2750002655903505
80000,64,2048,24,16,128,1.0,1,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,0,0,0,1,2.2581527876363165
90000,64,2048,24,16,128,1.0,1,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,0,0,0,1,2.242051815300208
100000,64,2048,24,16,128,1.0,1,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,0,0,0,1,2.227717781136239
110000,64,2048,24,16,128,1.0,1,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,0,0,0,1,2.213520230902283
120000,64,2048,24,16,128,1.0,1,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,0,0,0,1,2.1994602712248006
130000,64,2048,24,16,128,1.0,1,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,0,0,0,1,2.1864665092535613
140000,64,2048,24,16,128,1.0,1,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,0,0,0,1,2.173159104751982
150000,64,2048,24,16,128,1.0,1,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,0,0,0,1,2.1607139344042987
160000,64,2048,24,16,128,1.0,1,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,0,0,0,1,2.145130715701072
170000,64,2048,24,16,128,1.0,1,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,0,0,0,1,2.131372496171564
180000,64,2048,24,16,128,1.0,1,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,0,0,0,1,2.1175410917455304
190000,64,2048,24,16,128,1.0,1,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,0,0,0,1,2.1051616550095456
200000,64,2048,24,16,128,1.0,1,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,0,0,0,1,2.0928393693822724
210000,64,2048,24,16,128,1.0,1,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,0,0,0,1,2.082705622016535
220000,64,2048,24,16,128,1.0,1,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,0,0,0,1,2.0721779402228915
230000,64,2048,24,16,128,1.0,1,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,0,0,0,1,2.064509387733582
240000,64,2048,24,16,128,1.0,1,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,0,0,0,1,2.0582394389472705
249000,64,2048,24,16,128,1.0,1,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,0,0,0,1,2.054386854182635
0,64,2048,24,16,128,1.0,1,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,0,1,0,0,10.790152957417408
10000,64,2048,24,16,128,1.0,1,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,0,1,0,0,2.639066943720028
20000,64,2048,24,16,128,1.0,1,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,0,1,0,0,2.50198041871204
30000,64,2048,24,16,128,1.0,1,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,0,1,0,0,2.4400007298816293
40000,64,2048,24,16,128,1.0,1,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,0,1,0,0,2.399160704983026
50000,64,2048,24,16,128,1.0,1,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,0,1,0,0,2.371494945127066
60000,64,2048,24,16,128,1.0,1,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,0,1,0,0,2.350359756884495
70000,64,2048,24,16,128,1.0,1,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,0,1,0,0,2.330782993797383
80000,64,2048,24,16,128,1.0,1,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,0,1,0,0,2.313646956846093
90000,64,2048,24,16,128,1.0,1,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,0,1,0,0,2.296918355165516
100000,64,2048,24,16,128,1.0,1,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,0,1,0,0,2.2820878391883874
110000,64,2048,24,16,128,1.0,1,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,0,1,0,0,2.2687122664968986
120000,64,2048,24,16,128,1.0,1,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,0,1,0,0,2.2550552664008925
130000,64,2048,24,16,128,1.0,1,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,0,1,0,0,2.242529681197148
140000,64,2048,24,16,128,1.0,1,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,0,1,0,0,2.228933422597922
150000,64,2048,24,16,128,1.0,1,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,0,1,0,0,2.2162124317531164
160000,64,2048,24,16,128,1.0,1,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,0,1,0,0,2.200740908547209
