topk,nume,moeh,sed,h,ffnh,numh,numl,lr,bs,ti,numld,N,Na,M,kvcache,D,loss
3,8,2888,8664,1408,3904,11,16,0.0001726,32,30517,1,2156188672,1241270272,8001269760,45056,2000000000,2.624484
3,8,2888,8664,1408,3904,11,16,0.0001726,64,15258,1,2156188672,1241270272,8001269760,45056,2000000000,2.525522
3,8,2888,8664,1408,3904,11,16,0.0001726,128,7629,1,2156188672,1241270272,8001269760,45056,2000000000,2.627712
3,8,2888,8664,1408,3904,11,16,0.0001726,256,3814,1,2156188672,1241270272,8001269760,45056,2000000000,2.691192
3,8,2888,8664,1408,3904,11,16,0.0001726,512,1907,1,2156188672,1241270272,8001269760,45056,2000000000,2.84962
3,8,2888,8664,1408,3904,11,16,0.0002441,32,30517,1,2156188672,1241270272,8001269760,45056,2000000000,2.612665
3,8,2888,8664,1408,3904,11,16,0.0002441,64,15258,1,2156188672,1241270272,8001269760,45056,2000000000,2.503005
3,8,2888,8664,1408,3904,11,16,0.0002441,128,7629,1,2156188672,1241270272,8001269760,45056,2000000000,2.592
3,8,2888,8664,1408,3904,11,16,0.0002441,256,3814,1,2156188672,1241270272,8001269760,45056,2000000000,2.642489
3,8,2888,8664,1408,3904,11,16,0.0002441,512,1907,1,2156188672,1241270272,8001269760,45056,2000000000,2.764828
3,8,2888,8664,1408,3904,11,16,0.0003453,32,30517,1,2156188672,1241270272,8001269760,45056,2000000000,2.608249
3,8,2888,8664,1408,3904,11,16,0.0003453,64,15258,1,2156188672,1241270272,8001269760,45056,2000000000,2.485697
3,8,2888,8664,1408,3904,11,16,0.0003453,128,7629,1,2156188672,1241270272,8001269760,45056,2000000000,2.574017
3,8,2888,8664,1408,3904,11,16,0.0003453,256,3814,1,2156188672,1241270272,8001269760,45056,2000000000,2.608172
3,8,2888,8664,1408,3904,11,16,0.0003453,512,1907,1,2156188672,1241270272,8001269760,45056,2000000000,2.707511
3,8,2888,8664,1408,3904,11,16,0.0004883,32,30517,1,2156188672,1241270272,8001269760,45056,2000000000,2.608462
3,8,2888,8664,1408,3904,11,16,0.0004883,64,15258,1,2156188672,1241270272,8001269760,45056,2000000000,2.493612
3,8,2888,8664,1408,3904,11,16,0.0004883,128,7629,1,2156188672,1241270272,8001269760,45056,2000000000,2.563516
3,8,2888,8664,1408,3904,11,16,0.0004883,256,3814,1,2156188672,1241270272,8001269760,45056,2000000000,2.593042
3,8,2888,8664,1408,3904,11,16,0.0004883,512,1907,1,2156188672,1241270272,8001269760,45056,2000000000,2.673552
3,8,2888,8664,1408,3904,11,16,0.0006905,32,30517,1,2156188672,1241270272,8001269760,45056,2000000000,2.634036
3,8,2888,8664,1408,3904,11,16,0.0006905,64,15258,1,2156188672,1241270272,8001269760,45056,2000000000,2.506561
3,8,2888,8664,1408,3904,11,16,0.0006905,128,7629,1,2156188672,1241270272,8001269760,45056,2000000000,2.574037
3,8,2888,8664,1408,3904,11,16,0.0006905,256,3814,1,2156188672,1241270272,8001269760,45056,2000000000,2.591455
3,8,2888,8664,1408,3904,11,16,0.0006905,512,1907,1,2156188672,1241270272,8001269760,45056,2000000000,2.668088
3,8,2888,8664,1408,3904,11,16,0.0009766,32,30517,1,2156188672,1241270272,8001269760,45056,2000000000,2.658041
3,8,2888,8664,1408,3904,11,16,0.0009766,64,15258,1,2156188672,1241270272,8001269760,45056,2000000000,2.522555
3,8,2888,8664,1408,3904,11,16,0.0009766,128,7629,1,2156188672,1241270272,8001269760,45056,2000000000,2.587238
