step,num_experts,d_model,num_blocks,num_heads,kqv_size,flop_increase,k,router_type,seed,routing_frequency,N,dense_parameter_count,flops_per_step,D,loss
0,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,10.777566903448411
10000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.4371719754675465
20000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.2864840336422247
30000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.2313687773442963
40000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.195979942521683
50000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.170317329398704
60000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.1638331815989478
70000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.146983529922116
80000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.1557964913682635
90000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.132234376828304
100000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.113512541631825
110000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.107622012996835
120000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.0836945943554808
130000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.089219818889076
140000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.0718222110601525
150000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.0628722605759817
160000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.054744244319949
170000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.047255510241357
180000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.049356008824377
190000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.039629787124743
200000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.0289903051716216
210000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.019104262927627
220000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.014263983584147
230000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.016638460243213
240000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.006866575530904
249000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.0132593973053114
0,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,10.945058833937892
10000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.7580916285428074
20000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.5967185417516903
30000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.512241968304161
40000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.4892734729289683
50000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.4451173396728816
60000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.439546452126612
70000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.428541666072096
80000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.416030000599327
90000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.3896367792735584
100000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.3782210261049737
110000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.366987924987086
120000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.356896399186057
130000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.34283219128236
140000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.33557177226714
150000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.336393706495278
160000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.3275350820364564
170000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.323608062946463
180000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.312877254967993
190000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.3049775537753323
200000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.295981940278488
210000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.2969865265573226
220000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.289223814402685
