step,num_experts,d_model,num_blocks,num_heads,kqv_size,flop_increase,k,router_type,seed,routing_frequency,N,dense_parameter_count,flops_per_step,D,loss
0,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,10.879598308668076
10000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.479351656095842
20000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.209813248766737
30000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.0903365045806908
40000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.014816772374912
50000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,1.9945824524312896
60000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,1.9307875264270613
70000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,1.8481412966878084
80000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,1.9045278365045808
90000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,1.8299330514446797
100000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,1.814702255109232
110000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,1.799894291754757
120000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,1.725405214940099
130000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,1.7636275546159268
140000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,1.738107822410148
150000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,1.7119274136715996
160000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,1.7329105003523608
170000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,1.74988548273432
180000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,1.7023255813953488
190000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,1.7058844256518677
200000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,1.684223044397463
210000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,1.7039288231148697
