step,num_experts,d_model,num_blocks,num_heads,kqv_size,flop_increase,k,router_type,seed,routing_frequency,N,dense_parameter_count,flops_per_step,D,loss
0,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,10.919198926388225
10000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.928632884094952
20000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.7951582157097845
30000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.710785924014334
40000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.68773302892433
50000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.62562100789267
60000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.618774462300401
70000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.600183597082543
80000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.562573610328779
90000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.557513036093336
100000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.532288183410611
110000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.5154551497520314
120000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.499810992346941
130000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.490504690288316
140000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.462226488414133
150000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.451398463397973
160000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.4327949171554697
170000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.419418972358748
180000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.4069798533542155
190000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.3959509850619947
200000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.3876543341085266
210000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.369975294948556
220000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.3591083814568155
230000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.346269749790099
240000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.3417739038522294
249000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.3394593149251555
0,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,10.89779770456546
10000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,3.080625713156672
20000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.9242573267337257
30000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.8358015035588995
40000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.788709854291404
50000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.772591064249559
60000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.743107802719005
70000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.7167404501014967
80000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.693783206168823
90000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.6720022782366564
100000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.6551947273990324
110000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.6431489617018564
120000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.637014244293056
130000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.617825921656871
