step,num_experts,d_model,num_blocks,num_heads,kqv_size,flop_increase,k,router_type,seed,routing_frequency,N,dense_parameter_count,flops_per_step,D,loss
0,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,10.747576009147728
10000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.979997180495293
20000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.8290283673501357
30000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.77564574489748
40000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.737864381823593
50000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.714775771056218
60000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.697012891402077
70000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.682664745226422
80000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.661048542472705
90000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.6492066227032787
100000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.6417505991447503
110000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.6258047336351247
120000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.6149966322582667
130000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.6075719365298164
140000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.5983302266568504
150000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.58683291301828
160000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.5732679625945707
170000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.563243056969659
180000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.5591704390595384
190000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.5422847386475778
200000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.536113156122241
210000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.527466675020755
220000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.521044469854796
230000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.5185695712786456
240000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.515969361382184
249000,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,130000000000,2.513776413276734
0,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,10.937422659419497
10000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,3.291740417599975
20000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,3.1183095502889997
30000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,3.0383609279303267
40000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,3.0048088219169498
50000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.9763004965461066
60000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.9513948716342164
70000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.942247145251484
80000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.9178427656208394
90000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.906627402452969
100000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.894848138343697
110000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.885543772810576
120000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.873733180871227
130000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.8634263247756144
140000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.8446296267289046
150000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.8429065960746227
160000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.8386146833539576
170000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.8264908131138298
180000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.808508638649144
190000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.802086433483185
200000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.7944737707742675
210000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.7919988721981173
220000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.783978947698188
230000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.7806268698798577
240000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.77752541470215
249000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.774799893485378
0,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,10.97990319700506
10000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,3.3639197380993404
20000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,3.202518757538259
30000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,3.1185915007597
40000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,3.0795570244826997
50000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,3.0463181967701005
60000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,3.027490170893313
70000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,3.0163061355555207
80000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,3.001832678059554
90000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.9780861828605443
100000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.964207954136057
110000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.9515201829545274
120000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.945003994298335
130000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.9358875957456805
140000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.9201923528766778
150000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.9171848811892045
160000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.9084444165974843
170000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.89278050155856
180000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.8888331949687505
190000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.8817531053711565
200000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.877899782271581
210000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.8667470747638664
220000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.857286070080356
230000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.8536520417913254
240000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.8513024545354866
249000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.8491721620901926
0,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,10.926019329271158
10000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,3.185915007596998
20000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,3.017935182719569
