step,num_experts,d_model,num_blocks,num_heads,kqv_size,flop_increase,k,seed,routing_frequency,N,dense_parameter_count,flops_per_step,D,router_type_Dense,router_type_Hash,router_type_RL-R,router_type_S-Base,loss
0,64,512,6,8,32,1.0,1,42,0.5,413085888.0,16527360.0,44769866678272.0,130000000000,0,0,1,0,10.856647460877555
10000,64,512,6,8,32,1.0,1,42,0.5,413085888.0,16527360.0,44769866678272.0,130000000000,0,0,1,0,3.2266397548227275
20000,64,512,6,8,32,1.0,1,42,0.5,413085888.0,16527360.0,44769866678272.0,130000000000,0,0,1,0,3.0737204545490315
30000,64,512,6,8,32,1.0,1,42,0.5,413085888.0,16527360.0,44769866678272.0,130000000000,0,0,1,0,3.0086420148982413
40000,64,512,6,8,32,1.0,1,42,0.5,413085888.0,16527360.0,44769866678272.0,130000000000,0,0,1,0,2.968143863800546
50000,64,512,6,8,32,1.0,1,42,0.5,413085888.0,16527360.0,44769866678272.0,130000000000,0,0,1,0,2.9407245619529823
60000,64,512,6,8,32,1.0,1,42,0.5,413085888.0,16527360.0,44769866678272.0,130000000000,0,0,1,0,2.9213189570916165
70000,64,512,6,8,32,1.0,1,42,0.5,413085888.0,16527360.0,44769866678272.0,130000000000,0,0,1,0,2.9045974378203807
80000,64,512,6,8,32,1.0,1,42,0.5,413085888.0,16527360.0,44769866678272.0,130000000000,0,0,1,0,2.8920909357751383
90000,64,512,6,8,32,1.0,1,42,0.5,413085888.0,16527360.0,44769866678272.0,130000000000,0,0,1,0,2.880266410729378
100000,64,512,6,8,32,1.0,1,42,0.5,413085888.0,16527360.0,44769866678272.0,130000000000,0,0,1,0,2.867372097589305
110000,64,512,6,8,32,1.0,1,42,0.5,413085888.0,16527360.0,44769866678272.0,130000000000,0,0,1,0,2.856267715860033
120000,64,512,6,8,32,1.0,1,42,0.5,413085888.0,16527360.0,44769866678272.0,130000000000,0,0,1,0,2.848706407770505
130000,64,512,6,8,32,1.0,1,42,0.5,413085888.0,16527360.0,44769866678272.0,130000000000,0,0,1,0,2.838025101632574
140000,64,512,6,8,32,1.0,1,42,0.5,413085888.0,16527360.0,44769866678272.0,130000000000,0,0,1,0,2.829868821974985
150000,64,512,6,8,32,1.0,1,42,0.5,413085888.0,16527360.0,44769866678272.0,130000000000,0,0,1,0,2.8222700853194245
160000,64,512,6,8,32,1.0,1,42,0.5,413085888.0,16527360.0,44769866678272.0,130000000000,0,0,1,0,2.8126710598589497
170000,64,512,6,8,32,1.0,1,42,0.5,413085888.0,16527360.0,44769866678272.0,130000000000,0,0,1,0,2.804426299267994
180000,64,512,6,8,32,1.0,1,42,0.5,413085888.0,16527360.0,44769866678272.0,130000000000,0,0,1,0,2.7959688204798097
190000,64,512,6,8,32,1.0,1,42,0.5,413085888.0,16527360.0,44769866678272.0,130000000000,0,0,1,0,2.7890348466343604
200000,64,512,6,8,32,1.0,1,42,0.5,413085888.0,16527360.0,44769866678272.0,130000000000,0,0,1,0,2.780484706323962
210000,64,512,6,8,32,1.0,1,42,0.5,413085888.0,16527360.0,44769866678272.0,130000000000,0,0,1,0,2.7759070599030182
220000,64,512,6,8,32,1.0,1,42,0.5,413085888.0,16527360.0,44769866678272.0,130000000000,0,0,1,0,2.770482327814825
230000,64,512,6,8,32,1.0,1,42,0.5,413085888.0,16527360.0,44769866678272.0,130000000000,0,0,1,0,2.7649583928124564
240000,64,512,6,8,32,1.0,1,42,0.5,413085888.0,16527360.0,44769866678272.0,130000000000,0,0,1,0,2.7618240823951763
249000,64,512,6,8,32,1.0,1,42,0.5,413085888.0,16527360.0,44769866678272.0,130000000000,0,0,1,0,2.760212194885871
