step,num_experts,d_model,num_blocks,num_heads,kqv_size,flop_increase,k,seed,routing_frequency,N,dense_parameter_count,flops_per_step,D,router_type_Dense,router_type_Hash,router_type_RL-R,router_type_S-Base,loss
0,1,640,10,12,64,1.0,1,42,0.5,57369600.0,57369600.0,131502503362560.0,130000000000,1,0,0,0,10.903555635079645
10000,1,640,10,12,64,1.0,1,42,0.5,57369600.0,57369600.0,131502503362560.0,130000000000,1,0,0,0,3.239415757298423
20000,1,640,10,12,64,1.0,1,42,0.5,57369600.0,57369600.0,131502503362560.0,130000000000,1,0,0,0,3.1014155768937184
30000,1,640,10,12,64,1.0,1,42,0.5,57369600.0,57369600.0,131502503362560.0,130000000000,1,0,0,0,3.0431538578670616
40000,1,640,10,12,64,1.0,1,42,0.5,57369600.0,57369600.0,131502503362560.0,130000000000,1,0,0,0,3.010996719270606
50000,1,640,10,12,64,1.0,1,42,0.5,57369600.0,57369600.0,131502503362560.0,130000000000,1,0,0,0,2.9864429405691424
60000,1,640,10,12,64,1.0,1,42,0.5,57369600.0,57369600.0,131502503362560.0,130000000000,1,0,0,0,2.9722610060641164
70000,1,640,10,12,64,1.0,1,42,0.5,57369600.0,57369600.0,131502503362560.0,130000000000,1,0,0,0,2.9571808351577094
80000,1,640,10,12,64,1.0,1,42,0.5,57369600.0,57369600.0,131502503362560.0,130000000000,1,0,0,0,2.9470170367356703
90000,1,640,10,12,64,1.0,1,42,0.5,57369600.0,57369600.0,131502503362560.0,130000000000,1,0,0,0,2.937603973703801
100000,1,640,10,12,64,1.0,1,42,0.5,57369600.0,57369600.0,131502503362560.0,130000000000,1,0,0,0,2.9282483076976344
110000,1,640,10,12,64,1.0,1,42,0.5,57369600.0,57369600.0,131502503362560.0,130000000000,1,0,0,0,2.922920712820892
120000,1,640,10,12,64,1.0,1,42,0.5,57369600.0,57369600.0,131502503362560.0,130000000000,1,0,0,0,2.9144032302869007
130000,1,640,10,12,64,1.0,1,42,0.5,57369600.0,57369600.0,131502503362560.0,130000000000,1,0,0,0,2.906882252583899
140000,1,640,10,12,64,1.0,1,42,0.5,57369600.0,57369600.0,131502503362560.0,130000000000,1,0,0,0,2.899099668385856
150000,1,640,10,12,64,1.0,1,42,0.5,57369600.0,57369600.0,131502503362560.0,130000000000,1,0,0,0,2.8942477753365323
160000,1,640,10,12,64,1.0,1,42,0.5,57369600.0,57369600.0,131502503362560.0,130000000000,1,0,0,0,2.8880576020221067
170000,1,640,10,12,64,1.0,1,42,0.5,57369600.0,57369600.0,131502503362560.0,130000000000,1,0,0,0,2.8812300610503687
180000,1,640,10,12,64,1.0,1,42,0.5,57369600.0,57369600.0,131502503362560.0,130000000000,1,0,0,0,2.8759238609518443
190000,1,640,10,12,64,1.0,1,42,0.5,57369600.0,57369600.0,131502503362560.0,130000000000,1,0,0,0,2.86894213002674
200000,1,640,10,12,64,1.0,1,42,0.5,57369600.0,57369600.0,131502503362560.0,130000000000,1,0,0,0,2.863492314405464
210000,1,640,10,12,64,1.0,1,42,0.5,57369600.0,57369600.0,131502503362560.0,130000000000,1,0,0,0,2.859216703232884
220000,1,640,10,12,64,1.0,1,42,0.5,57369600.0,57369600.0,131502503362560.0,130000000000,1,0,0,0,2.855768012534291
230000,1,640,10,12,64,1.0,1,42,0.5,57369600.0,57369600.0,131502503362560.0,130000000000,1,0,0,0,2.852643981447235
240000,1,640,10,12,64,1.0,1,42,0.5,57369600.0,57369600.0,131502503362560.0,130000000000,1,0,0,0,2.8495603299301044
249000,1,640,10,12,64,1.0,1,42,0.5,57369600.0,57369600.0,131502503362560.0,130000000000,1,0,0,0,2.8485521686337405
0,8,640,10,12,64,1.0,1,42,0.5,172083200.0,57369600.0,131529346908160.0,130000000000,0,0,0,1,10.884376790275695
10000,8,640,10,12,64,1.0,1,42,0.5,172083200.0,57369600.0,131529346908160.0,130000000000,0,0,0,1,3.1005732620160944
20000,8,640,10,12,64,1.0,1,42,0.5,172083200.0,57369600.0,131529346908160.0,130000000000,0,0,0,1,2.964547622907345
30000,8,640,10,12,64,1.0,1,42,0.5,172083200.0,57369600.0,131529346908160.0,130000000000,0,0,0,1,2.906164224153534
40000,8,640,10,12,64,1.0,1,42,0.5,172083200.0,57369600.0,131529346908160.0,130000000000,0,0,0,1,2.8722081535844075
50000,8,640,10,12,64,1.0,1,42,0.5,172083200.0,57369600.0,131529346908160.0,130000000000,0,0,0,1,2.846197365894579
60000,8,640,10,12,64,1.0,1,42,0.5,172083200.0,57369600.0,131529346908160.0,130000000000,0,0,0,1,2.8285080157135054
70000,8,640,10,12,64,1.0,1,42,0.5,172083200.0,57369600.0,131529346908160.0,130000000000,0,0,0,1,2.8167633645064267
80000,8,640,10,12,64,1.0,1,42,0.5,172083200.0,57369600.0,131529346908160.0,130000000000,0,0,0,1,2.802431617370474
90000,8,640,10,12,64,1.0,1,42,0.5,172083200.0,57369600.0,131529346908160.0,130000000000,0,0,0,1,2.794152133300387
100000,8,640,10,12,64,1.0,1,42,0.5,172083200.0,57369600.0,131529346908160.0,130000000000,0,0,0,1,2.780819792815919
110000,8,640,10,12,64,1.0,1,42,0.5,172083200.0,57369600.0,131529346908160.0,130000000000,0,0,0,1,2.771898760499672
120000,8,640,10,12,64,1.0,1,42,0.5,172083200.0,57369600.0,131529346908160.0,130000000000,0,0,0,1,2.7612395868909325
130000,8,640,10,12,64,1.0,1,42,0.5,172083200.0,57369600.0,131529346908160.0,130000000000,0,0,0,1,2.7541025839777014
140000,8,640,10,12,64,1.0,1,42,0.5,172083200.0,57369600.0,131529346908160.0,130000000000,0,0,0,1,2.745447289561945
150000,8,640,10,12,64,1.0,1,42,0.5,172083200.0,57369600.0,131529346908160.0,130000000000,0,0,0,1,2.739643623982297
160000,8,640,10,12,64,1.0,1,42,0.5,172083200.0,57369600.0,131529346908160.0,130000000000,0,0,0,1,2.731424906000689
170000,8,640,10,12,64,1.0,1,42,0.5,172083200.0,57369600.0,131529346908160.0,130000000000,0,0,0,1,2.723633272057377
180000,8,640,10,12,64,1.0,1,42,0.5,172083200.0,57369600.0,131529346908160.0,130000000000,0,0,0,1,2.7172287574935825
190000,8,640,10,12,64,1.0,1,42,0.5,172083200.0,57369600.0,131529346908160.0,130000000000,0,0,0,1,2.7103134241560523
200000,8,640,10,12,64,1.0,1,42,0.5,172083200.0,57369600.0,131529346908160.0,130000000000,0,0,0,1,2.7036863547153893
210000,8,640,10,12,64,1.0,1,42,0.5,172083200.0,57369600.0,131529346908160.0,130000000000,0,0,0,1,2.6982806566023005
220000,8,640,10,12,64,1.0,1,42,0.5,172083200.0,57369600.0,131529346908160.0,130000000000,0,0,0,1,2.693395171292005
230000,8,640,10,12,64,1.0,1,42,0.5,172083200.0,57369600.0,131529346908160.0,130000000000,0,0,0,1,2.689678480256604
240000,8,640,10,12,64,1.0,1,42,0.5,172083200.0,57369600.0,131529346908160.0,130000000000,0,0,0,1,2.686485395678471
249000,8,640,10,12,64,1.0,1,42,0.5,172083200.0,57369600.0,131529346908160.0,130000000000,0,0,0,1,2.6855667973502344
0,128,640,10,12,64,1.0,1,42,0.5,2138547200.0,57369600.0,131932000092160.0,130000000000,0,0,0,1,10.9046420594584
10000,128,640,10,12,64,1.0,1,42,0.5,2138547200.0,57369600.0,131932000092160.0,130000000000,0,0,0,1,2.932611686644308
20000,128,640,10,12,64,1.0,1,42,0.5,2138547200.0,57369600.0,131932000092160.0,130000000000,0,0,0,1,2.789725430728528
30000,128,640,10,12,64,1.0,1,42,0.5,2138547200.0,57369600.0,131932000092160.0,130000000000,0,0,0,1,2.723717867502286
40000,128,640,10,12,64,1.0,1,42,0.5,2138547200.0,57369600.0,131932000092160.0,130000000000,0,0,0,1,2.681238855041967
50000,128,640,10,12,64,1.0,1,42,0.5,2138547200.0,57369600.0,131932000092160.0,130000000000,0,0,0,1,2.653614064956711
60000,128,640,10,12,64,1.0,1,42,0.5,2138547200.0,57369600.0,131932000092160.0,130000000000,0,0,0,1,2.6338932436962623
70000,128,640,10,12,64,1.0,1,42,0.5,2138547200.0,57369600.0,131932000092160.0,130000000000,0,0,0,1,2.6155183261276376
80000,128,640,10,12,64,1.0,1,42,0.5,2138547200.0,57369600.0,131932000092160.0,130000000000,0,0,0,1,2.599635629712753
90000,128,640,10,12,64,1.0,1,42,0.5,2138547200.0,57369600.0,131932000092160.0,130000000000,0,0,0,1,2.5851887934250057
100000,128,640,10,12,64,1.0,1,42,0.5,2138547200.0,57369600.0,131932000092160.0,130000000000,0,0,0,1,2.5741745648646392
110000,128,640,10,12,64,1.0,1,42,0.5,2138547200.0,57369600.0,131932000092160.0,130000000000,0,0,0,1,2.5619653272781355
120000,128,640,10,12,64,1.0,1,42,0.5,2138547200.0,57369600.0,131932000092160.0,130000000000,0,0,0,1,2.551162193862856
130000,128,640,10,12,64,1.0,1,42,0.5,2138547200.0,57369600.0,131932000092160.0,130000000000,0,0,0,1,2.538841309962432
140000,128,640,10,12,64,1.0,1,42,0.5,2138547200.0,57369600.0,131932000092160.0,130000000000,0,0,0,1,2.5266344331790416
150000,128,640,10,12,64,1.0,1,42,0.5,2138547200.0,57369600.0,131932000092160.0,130000000000,0,0,0,1,2.515585874606729
160000,128,640,10,12,64,1.0,1,42,0.5,2138547200.0,57369600.0,131932000092160.0,130000000000,0,0,0,1,2.5037850067755048
