h,ffnh,numh,numl,lr,bs,ti,D,N,D/N,loss,smooth loss
960,9368,15,7,0.0003453,736,66342,100000000000,214663680,465.84499063837904,2.413517,2.3976109618296744
1280,9472,10,10,0.005524,736,33171,50000000000,429260800,116.47930582061068,2.288173,2.2778836983119093
1024,9552,16,8,0.0003453,736,53074,80000000000,268304384,298.1688141182218,2.351091,2.3625541052342798
1280,9472,10,10,0.002762,736,33171,50000000000,429260800,116.47930582061068,2.276773,2.26677528064734
1280,9472,10,10,0.0004883,1024,23841,50000000000,429260800,116.47930582061068,2.298171,2.307012281611546
960,9368,15,7,0.0009766,32,1525878,100000000000,214663680,465.84499063837904,2.432666,2.4137805813253053
960,9368,15,7,0.001381,128,381469,100000000000,214663680,465.84499063837904,2.421673,2.3583542548184586
1280,9472,10,10,0.003906,2048,11920,50000000000,429260800,116.47930582061068,2.319124,2.312878249783144
1280,9472,10,10,0.002762,32,762939,50000000000,429260800,116.47930582061068,2.399201,2.380411149629176
1280,9472,10,10,0.0009766,352,69358,50000000000,429260800,116.47930582061068,2.278578,2.2687204593838177
1024,9552,16,8,0.001381,1024,38146,80000000000,268304384,298.1688141182218,2.313347,2.326585942511133
1280,9472,10,10,0.0009766,192,127156,50000000000,429260800,116.47930582061068,2.273788,2.265579835154685
1024,9552,16,8,0.0006905,128,305175,80000000000,268304384,298.1688141182218,2.348516,2.323627755139312
1024,9552,16,8,0.01105,192,203450,80000000000,268304384,298.1688141182218,2.378132,2.37908273262946
1024,9552,16,8,0.002762,64,610351,80000000000,268304384,298.1688141182218,2.371711,2.367986859925716
1280,9472,10,10,0.007812,192,127156,50000000000,429260800,116.47930582061068,2.325056,2.3113751749255287
1280,9472,10,10,0.007812,736,33171,50000000000,429260800,116.47930582061068,2.30046,2.289878505941001
960,9368,15,7,0.001381,2048,23841,100000000000,214663680,465.84499063837904,2.373371,2.381233296851839
1280,9472,10,10,0.005524,256,95367,50000000000,429260800,116.47930582061068,2.285063,2.2793525052386547
1024,9552,16,8,0.01105,128,305175,80000000000,268304384,298.1688141182218,2.429212,2.407540745145626
1024,9552,16,8,0.007812,1024,38146,80000000000,268304384,298.1688141182218,2.300474,2.3138873781694973
960,9368,15,7,0.01105,1024,47683,100000000000,214663680,465.84499063837904,2.345163,2.359076712043932
960,9368,15,7,0.002762,736,66342,100000000000,214663680,465.84499063837904,2.358602,2.3445016176522024
1024,9552,16,8,0.0003453,512,76293,80000000000,268304384,298.1688141182218,2.341989,2.352917115184631
1024,9552,16,8,0.007812,2048,19073,80000000000,268304384,298.1688141182218,2.343836,2.3453091684244614
1280,9472,10,10,0.001381,736,33171,50000000000,429260800,116.47930582061068,2.284752,2.275322265877307
1024,9552,16,8,0.007812,512,76293,80000000000,268304384,298.1688141182218,2.303998,2.3133724624728425
1280,9472,10,10,0.0002441,192,127156,50000000000,429260800,116.47930582061068,2.300096,2.2937386730322
1280,9472,10,10,0.0004883,64,381469,50000000000,429260800,116.47930582061068,2.375902,2.286109109905815
1280,9472,10,10,0.0009766,32,762939,50000000000,429260800,116.47930582061068,2.347637,2.32912824424883
1280,9472,10,10,0.001953,1024,23841,50000000000,429260800,116.47930582061068,2.266227,2.27475067491006
1280,9472,10,10,0.003906,32,762939,50000000000,429260800,116.47930582061068,2.433523,2.42239361136439
960,9368,15,7,0.0004883,736,66342,100000000000,214663680,465.84499063837904,2.402201,2.386230532580373
1024,9552,16,8,0.0002441,128,305175,80000000000,268304384,298.1688141182218,2.371909,2.3462462553977104
1024,9552,16,8,0.0009766,736,53074,80000000000,268304384,298.1688141182218,2.318849,2.3303444559036626
960,9368,15,7,0.0002441,256,190734,100000000000,214663680,465.84499063837904,2.361933,2.3909159704257528
1280,9472,10,10,0.0003453,192,127156,50000000000,429260800,116.47930582061068,2.28812,2.2839312983010607
1024,9552,16,8,0.001381,32,1220703,80000000000,268304384,298.1688141182218,2.317127,2.3903837310341327
1280,9472,10,10,0.007812,64,381469,50000000000,429260800,116.47930582061068,2.496767,2.4041233222345144
1024,9552,16,8,0.0006905,2048,19073,80000000000,268304384,298.1688141182218,2.371453,2.3729425869806517
1024,9552,16,8,0.01105,64,610351,80000000000,268304384,298.1688141182218,2.505858,2.4999572837632864
1024,9552,16,8,0.002762,512,76293,80000000000,268304384,298.1688141182218,2.295902,2.307333348426464
1280,9472,10,10,0.001953,512,47683,50000000000,429260800,116.47930582061068,2.268273,2.2638215385589278
1024,9552,16,8,0.0003453,192,203450,80000000000,268304384,298.1688141182218,2.338548,2.3384517844086465
1024,9552,16,8,0.005524,64,610351,80000000000,268304384,298.1688141182218,2.418923,2.4139465671690306
1280,9472,10,10,0.003906,64,381469,50000000000,429260800,116.47930582061068,2.420341,2.3307609636361195
1280,9472,10,10,0.001953,192,127156,50000000000,429260800,116.47930582061068,2.272077,2.262719853570156
1024,9552,16,8,0.0006905,736,53074,80000000000,268304384,298.1688141182218,2.328806,2.340173942940424
1024,9552,16,8,0.001953,64,610351,80000000000,268304384,298.1688141182218,2.361443,2.3538941545021363
1280,9472,10,10,0.005524,32,762939,50000000000,429260800,116.47930582061068,2.491189,2.4745100881318387
960,9368,15,7,0.003906,2048,23841,100000000000,214663680,465.84499063837904,2.347246,2.355767390064634
960,9368,15,7,0.002762,512,95367,100000000000,214663680,465.84499063837904,2.346096,2.3436394961386577
1024,9552,16,8,0.0004883,352,110973,80000000000,268304384,298.1688141182218,2.327535,2.3360202157173613
960,9368,15,7,0.0006905,512,95367,100000000000,214663680,465.84499063837904,2.372171,2.3688892725353825
1024,9552,16,8,0.0004883,192,203450,80000000000,268304384,298.1688141182218,2.332388,2.330635125301733
960,9368,15,7,0.0006905,256,190734,100000000000,214663680,465.84499063837904,2.331722,2.3614372151469563
960,9368,15,7,0.0003453,32,1525878,100000000000,214663680,465.84499063837904,2.433482,2.410136487157416
1280,9472,10,10,0.001381,32,762939,50000000000,429260800,116.47930582061068,2.359758,2.341425826215076
960,9368,15,7,0.003906,352,138716,100000000000,214663680,465.84499063837904,2.341194,2.3467150747983263
1024,9552,16,8,0.0009766,2048,19073,80000000000,268304384,298.1688141182218,2.358494,2.3603196048833484
1280,9472,10,10,0.01105,64,381469,50000000000,429260800,116.47930582061068,2.517757,2.426248272007878
960,9368,15,7,0.003906,736,66342,100000000000,214663680,465.84499063837904,2.357081,2.3422741059613195
1280,9472,10,10,0.002762,2048,11920,50000000000,429260800,116.47930582061068,2.319001,2.3127788286138573
1024,9552,16,8,0.002762,1024,38146,80000000000,268304384,298.1688141182218,2.301595,2.3154630115161394
960,9368,15,7,0.001381,192,254313,100000000000,214663680,465.84499063837904,2.393257,2.354579460927984
1280,9472,10,10,0.0002441,512,47683,50000000000,429260800,116.47930582061068,2.317883,2.313004729579026
1024,9552,16,8,0.0006905,192,203450,80000000000,268304384,298.1688141182218,2.321939,2.3230862523924216
