topk,nume,moeh,sed,h,ffnh,numh,numl,lr,bs,ti,N,Na,M,kvcache,D,D/N,Na/N,loss,smooth loss
1,89,352,352,1408,3904,11,16,0.0001726,32,30517,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514987,0.0874046761082711,2.721691,2.680629944853511
2,88,352,704,1408,3904,11,16,0.0001726,32,30517,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514987,0.1081454789239922,2.681733,2.6388746955097973
1,8,3528,3528,1408,3904,11,16,0.0001726,32,30517,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,0.2739621497598428,2.648927,2.59984350981794
3,8,2888,8664,1408,3904,11,16,0.0001726,32,30517,2156188672,1241270272,8001269760,45056,2000000000,0.927562613593028,0.5756779488358243,2.624484,2.5783433462360037
1,89,352,352,1408,3904,11,16,0.0001726,64,15258,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514987,0.0874046761082711,2.615083,2.683143391788305
2,88,352,704,1408,3904,11,16,0.0001726,64,15258,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514987,0.1081454789239922,2.583851,2.649588438388113
1,8,3528,3528,1408,3904,11,16,0.0001726,64,15258,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,0.2739621497598428,2.540422,2.6128970019772275
3,8,2888,8664,1408,3904,11,16,0.0001726,64,15258,2156188672,1241270272,8001269760,45056,2000000000,0.927562613593028,0.5756779488358243,2.525522,2.5958292557328075
1,89,352,352,1408,3904,11,16,0.0001726,128,7629,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514987,0.0874046761082711,2.720423,2.7211455612296334
2,88,352,704,1408,3904,11,16,0.0001726,128,7629,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514987,0.1081454789239922,2.68381,2.6868381402395927
1,8,3528,3528,1408,3904,11,16,0.0001726,128,7629,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,0.2739621497598428,2.644165,2.650470259945063
3,8,2888,8664,1408,3904,11,16,0.0001726,128,7629,2156188672,1241270272,8001269760,45056,2000000000,0.927562613593028,0.5756779488358243,2.627712,2.634207076615874
