,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
0,[0.01571724],[0.0014779],[0.00374401],[0.75817761],[0.15434095],[0.12523288],[0.0173939],[0.00824579]
1,[0.12427275],[0.01500636],[0.00949098],[0.76680778],[0.18108264],[0.01538307],[0.0047054],[0.01015913]
2,[0.07270424],[0.01590045],[0.02665835],[0.76539926],[0.15995826],[0.04170883],[0.01074019],[0.00221301]
3,[0.02190259],[0.00081203],[0.00391816],[0.75924139],[0.15556775],[0.11175164],[0.01352617],[0.00702056]
4,[0.04279285],[0.00351318],[0.01590003],[0.76144529],[0.16517769],[0.07527968],[0.00704994],[0.00063161]
5,[0.0207553],[0.0066546],[0.00155312],[0.75964431],[0.14132226],[0.1265199],[0.01167275],[0.00052111]
6,[0.00974526],[0.00239612],[0.01704442],[0.75696676],[0.14824341],[0.14678122],[0.01623864],[0.00764983]
7,[0.08124778],[0.01571273],[0.01653311],[0.75918755],[0.21260903],[0.05216872],[0.01888835],[0.03123867]
8,[0.06981998],[0.00100494],[0.00894128],[0.76231846],[0.18244497],[0.04865889],[0.01647021],[0.01422725]
9,[0.16528995],[0.02227617],[0.00908718],[0.76899676],[0.1826506],[0.00035468],[0.00026595],[0.03120248]
10,[0.12119673],[0.00765032],[0.01771094],[0.76172364],[0.21355024],[0.03459822],[0.00082917],[0.00620911]
11,[0.03448853],[0.0086326],[0.0161103],[0.7616398],[0.1505559],[0.09195069],[0.00460344],[0.006795]
12,[0.08930814],[0.00855233],[0.01239694],[0.76454839],[0.17852706],[0.03323013],[0.01671272],[0.00134822]
13,[0.06114499],[0.0138928],[0.02621026],[0.76443315],[0.1576025],[0.05357686],[0.00055717],[0.00162415]
14,[0.02242372],[0.01006102],[0.00078098],[0.75767169],[0.17655593],[0.10114976],[0.01321452],[0.01052747]
15,[0.00348471],[0.01415752],[0.04836906],[0.75274093],[0.15234445],[0.1869477],[0.02816269],[0.00928611]
16,[0.01074598],[0.0004068],[0.02708374],[0.75672441],[0.13868451],[0.16174206],[0.0171356],[0.0023983]
17,[0.01637401],[0.00558348],[0.0153841],[0.75843388],[0.13584891],[0.1469926],[0.00773992],[0.0024061]
