,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
0,[0.46107566],[0.01057779],[0.02775708],[0.76805824],[0.170262],[0.04109525],[0.00994097],[0.00159265]
1,[0.41195727],[0.00483981],[0.00611491],[0.76535988],[0.16824274],[0.04835108],[0.00747223],[0.00488954]
2,[0.43594913],[0.00430061],[0.00932879],[0.76678689],[0.16739038],[0.04103315],[0.0111527],[0.00102114]
3,[0.42407561],[0.00052491],[0.00054871],[0.76620204],[0.16683508],[0.04312859],[0.01126306],[0.00688228]
4,[0.44808205],[0.00729966],[0.01892036],[0.7673182],[0.16895342],[0.04087751],[0.00941173],[0.00421592]
5,[0.47395204],[0.01233234],[0.03727149],[0.76859963],[0.17342353],[0.04306331],[0.00698442],[0.00044983]
6,[0.38036804],[0.01937626],[0.01958843],[0.76374695],[0.17145317],[0.0721435],[0.01278417],[0.00239076]
7,[0.39028501],[0.01450706],[0.01688498],[0.76421184],[0.17020734],[0.062639],[0.00698775],[0.00184158]
8,[0.40213517],[0.00742496],[0.0144614],[0.76526633],[0.16655125],[0.05232045],[0.01071265],[0.00515069]
9,[0.36011039],[0.03264861],[0.01534801],[0.76217733],[0.17847019],[0.09830746],[0.01435405],[0.00405161]
10,[0.36947646],[0.02680544],[0.01775641],[0.76275235],[0.17579236],[0.08559007],[0.01412078],[0.00342798]
