,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
0,[0.84170056],[0.02601795],[0.02675546],[0.77644377],[0.13701552],[0.006422],[0.01014898],[0.00956252]
1,[0.83549763],[0.06622223],[0.06698864],[0.76768377],[0.18156921],[0.03251113],[0.04973144],[0.00542777]
2,[0.84189502],[0.02475754],[0.02549415],[0.77671839],[0.13561876],[0.00764255],[0.00890807],[0.01263932]
3,[0.84562441],[0.0005855],[0.00130473],[0.78198517],[0.10883171],[0.03105034],[0.01489011],[0.00334489]
4,[0.8542071],[0.05504323],[0.05436399],[0.79410596],[0.0471849],[0.08492024],[0.06965846],[0.00424284]
5,[0.84098445],[0.03065938],[0.03140023],[0.77543246],[0.14215907],[0.00192731],[0.01471863],[0.01192211]
6,[0.83401777],[0.07581395],[0.07658726],[0.76559385],[0.19219859],[0.04179959],[0.05917481],[0.0112138]
7,[0.83971668],[0.03887643],[0.03962318],[0.77364207],[0.15126506],[0.00602993],[0.02280858],[0.01349574]
8,[0.84277915],[0.01902702],[0.01975951],[0.777967],[0.12926829],[0.01319189],[0.00326618],[0.00546733]
9,[0.84973591],[0.02606321],[0.02536314],[0.78779159],[0.07930006],[0.05685649],[0.04112666],[0.01261703]
10,[0.84071522],[0.03240438],[0.03314648],[0.77505224],[0.14409285],[0.00023749],[0.01643664],[0.0141425]
11,[0.83286203],[0.08330488],[0.08408357],[0.76396167],[0.20049992],[0.04905367],[0.06654988],[0.01380665]
12,[0.83859689],[0.04613439],[0.04688636],[0.77206065],[0.15930821],[0.01305841],[0.02995429],[0.01184508]
13,[0.84071052],[0.03243486],[0.03317698],[0.7750456],[0.14412663],[0.00020797],[0.01646665],[0.00812566]
14,[0.84655488],[0.00544533],[0.00473044],[0.78329921],[0.10214844],[0.0368905],[0.02082767],[0.00845598]
15,[0.84072823],[0.03232008],[0.03306212],[0.77507061],[0.14399943],[0.00031913],[0.01635364],[0.01777328]
16,[0.83339254],[0.07986635],[0.08064257],[0.76471088],[0.1966894],[0.04572386],[0.06316454],[0.01262475]
17,[0.83793573],[0.0504197],[0.05117475],[0.77112694],[0.16405711],[0.01720823],[0.03417332],[0.0114855]
18,[0.83978109],[0.03845896],[0.03920541],[0.77373303],[0.15080243],[0.00562566],[0.02239757],[0.00869429]
19,[0.84460584],[0.00718733],[0.0079113],[0.78054672],[0.11614775],[0.02465725],[0.00839039],[0.00862324]
20,[0.84227461],[0.02229723],[0.02303206],[0.77725446],[0.13289228],[0.01002508],[0.00648581],[0.01471497]
21,[0.83425324],[0.07428772],[0.07505993],[0.7659264],[0.19050725],[0.04032161],[0.05767218],[0.01199411]
22,[0.83859814],[0.04612626],[0.04687822],[0.77206242],[0.1592992],[0.01305054],[0.02994629],[0.00868655]
23,[0.83968297],[0.03909491],[0.03984182],[0.77359446],[0.15150718],[0.0062415],[0.02302369],[0.00807703]
24,[0.84428761],[0.00924996],[0.00997541],[0.7800973],[0.11843351],[0.02265983],[0.00635967],[0.00464625]
25,[0.84369904],[0.01306477],[0.01379297],[0.7792661],[0.12266103],[0.01896563],[0.00260386],[0.01087349]
26,[0.83530414],[0.06747631],[0.06824362],[0.76741052],[0.18295896],[0.03372556],[0.05096612],[0.01207322]
27,[0.83942167],[0.04078855],[0.04153668],[0.77322544],[0.15338405],[0.0078816],[0.02469114],[0.00848395]
28,[0.84044992],[0.03412392],[0.03486726],[0.77467758],[0.14599842],[0.00142769],[0.01812959],[0.00510685]
29,[0.84504494],[0.00434134],[0.00506327],[0.78116682],[0.11299387],[0.02741325],[0.01119236],[9.49786806e-05]
30,[0.84493053],[0.00508284],[0.00580531],[0.78100526],[0.11381559],[0.02669519],[0.01046233],[0.0100458]
31,[0.83709633],[0.05586021],[0.05661918],[0.76994152],[0.1700862],[0.02247673],[0.03952969],[0.01427305]
32,[0.84053511],[0.03357179],[0.03431474],[0.77479788],[0.14538656],[0.00089301],[0.017586],[0.00908294]
33,[0.84097325],[0.03073197],[0.03147287],[0.77541664],[0.14223952],[0.00185702],[0.0147901],[0.00803325]
34,[0.84579888],[0.00054535],[0.00017307],[0.78223157],[0.10757852],[0.03214544],[0.01600347],[0.00035444]
35,[0.84690179],[0.00769382],[0.00698054],[0.78378913],[0.09965671],[0.03906789],[0.02304138],[0.00659603]
36,[0.83949971],[0.04028273],[0.0410305],[0.77333565],[0.15282351],[0.00739177],[0.02419314],[0.01619647]
37,[0.84379965],[0.01241269],[0.01314042],[0.77940818],[0.1219384],[0.01959709],[0.00324585],[0.00558526]
38,[0.84366246],[0.01330189],[0.01403026],[0.77921443],[0.1229238],[0.01873601],[0.0023704],[0.00657668]
39,[0.84823358],[0.01632583],[0.01561876],[0.78566994],[0.09009086],[0.04742699],[0.03153989],[0.00261375]
40,[0.84775015],[0.01319252],[0.01248319],[0.78498723],[0.09356315],[0.04439273],[0.02845503],[0.00788714]
41,[0.84227323],[0.02230615],[0.023041],[0.77725252],[0.13290217],[0.01001644],[0.00649459],[0.00524856]
42,[0.84547023],[0.00158478],[0.00230473],[0.78176744],[0.1099391],[0.03008265],[0.01390629],[0.01516994]
43,[0.84776382],[0.01328111],[0.01257185],[0.78500653],[0.09346498],[0.04447852],[0.02854225],[0.00106183]
44,[0.85261294],[0.04471065],[0.04402398],[0.79185463],[0.05863529],[0.07491435],[0.05948569],[0.00314551]
45,[0.82709862],[0.05777555],[0.05935134],[0.7680557],[0.16690172],[0.02795835],[0.04408898],[0.01217692]
46,[0.8312398],[0.03244062],[0.03397866],[0.77361103],[0.13895308],[0.00333757],[0.01908186],[0.0099174]
47,[0.83460152],[0.01187433],[0.01338174],[0.77812071],[0.11626506],[0.01664898],[0.00121832],[0.01289236]
48,[0.83831636],[0.01085232],[0.00937877],[0.78310411],[0.0911938],[0.038735],[0.02365091],[0.00784186]
49,[0.83975489],[0.01965295],[0.01819251],[0.78503387],[0.08148525],[0.04728755],[0.03233767],[0.0016754]
50,[0.82672883],[0.06003782],[0.06161698],[0.76755964],[0.16939738],[0.03015685],[0.04632198],[0.0135309]
51,[0.83018996],[0.03886335],[0.04041096],[0.77220268],[0.14603842],[0.00957926],[0.02542148],[0.01199972]
52,[0.83310548],[0.02102676],[0.0225478],[0.77611381],[0.12636171],[0.00775454],[0.00781569],[0.01353689]
53,[0.83604652],[0.00303413],[0.00452836],[0.78005915],[0.10651285],[0.02523999],[0.00994414],[0.00861325]
54,[0.83638266],[0.00097764],[0.00246881],[0.78051009],[0.10424421],[0.02723851],[0.01197402],[0.00441114]
55,[0.82625434],[0.06294065],[0.06452413],[0.76692312],[0.17259967],[0.03297785],[0.04918724],[0.01540903]
