,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
0,[79.77202207],[0.01317815],[0.01466319],[0.77764291],[0.13090596],[0.011805],[0.03484074],[0.02072161]
1,[79.44541637],[0.00908132],[0.01056035],[0.77854202],[0.12633308],[0.01580082],[0.03065631],[0.01724887]
2,[78.33013975],[0.00490835],[0.00344982],[0.78161226],[0.11071786],[0.02944553],[0.01636753],[0.01171909]
3,[76.09312078],[0.03296879],[0.0315514],[0.78777054],[0.07939689],[0.05681405],[0.01229287],[0.00482406]
4,[72.12536268],[0.08273907],[0.08139462],[0.79869338],[0.02384348],[0.10535708],[0.06312727],[0.00321397]
5,[79.94887337],[0.01539652],[0.01688481],[0.77715605],[0.13338209],[0.00964134],[0.03710654],[0.01640957]
6,[79.98149279],[0.01580569],[0.01729458],[0.77706626],[0.1338388],[0.00924226],[0.03752445],[0.01546873]
7,[79.28274199],[0.00704078],[0.00851683],[0.77898984],[0.12405544],[0.01779104],[0.02857215],[0.01206772]
8,[77.65835677],[0.01333498],[0.0118888],[0.78346161],[0.10131209],[0.03766437],[0.00776073],[0.01255319]
9,[74.38776833],[0.05436018],[0.05297414],[0.79246521],[0.05551989],[0.07767797],[0.03414162],[0.00997087]
10,[79.80343315],[0.01357217],[0.01505778],[0.77755644],[0.13134575],[0.01142071],[0.03524318],[0.01470273]
11,[80.17170762],[0.01819168],[0.01968407],[0.77654261],[0.13650204],[0.0069151],[0.03996146],[0.0152755]
12,[79.84105004],[0.01404402],[0.01553033],[0.77745288],[0.13187243],[0.01096049],[0.03572512],[0.014509]
13,[78.69856053],[0.000287],[0.0011783],[0.78059804],[0.1158762],[0.02493813],[0.02108769],[0.01575837]
14,[76.13934358],[0.03238899],[0.03097074],[0.7876433],[0.08004407],[0.05624854],[0.01170067],[0.01165795]
15,[79.44934423],[0.00913059],[0.01060969],[0.77853121],[0.12638808],[0.01575276],[0.03070663],[0.01328036]
16,[80.09225509],[0.01719505],[0.01868598],[0.77676134],[0.13538961],[0.00788715],[0.03894352],[0.01463604]
17,[80.15486002],[0.01798035],[0.01947243],[0.77658899],[0.13626615],[0.00712122],[0.03974561],[0.01695424]
18,[79.32955567],[0.007628],[0.0091049],[0.77886097],[0.12471089],[0.0172183],[0.02917192],[0.01767526]
19,[77.27801154],[0.01810591],[0.01666672],[0.78450866],[0.09598679],[0.04231765],[0.0028878],[0.01675477]
20,[79.07204495],[0.00439787],[0.00587004],[0.77956987],[0.12110543],[0.02036878],[0.02587272],[0.01221148]
21,[79.9120522],[0.01493465],[0.01642226],[0.77725742],[0.13286655],[0.01009182],[0.03663479],[0.01617633]
22,[80.21220593],[0.01869968],[0.02019281],[0.77643113],[0.13706906],[0.00641963],[0.04048032],[0.01825717]
23,[79.6840685],[0.01207489],[0.01355831],[0.77788503],[0.1296745],[0.01288106],[0.03371389],[0.01795852]
24,[78.0196774],[0.00880269],[0.00734987],[0.78246693],[0.10637101],[0.03324384],[0.01238993],[0.01743294]
25,[78.7335156],[0.00015147],[0.00161741],[0.78050181],[0.11636561],[0.02451048],[0.02153553],[0.01281222]
26,[79.48454356],[0.00957212],[0.01105187],[0.77843431],[0.12688091],[0.01532212],[0.0311576],[0.01745568]
27,[79.69282021],[0.01218467],[0.01366825],[0.77786094],[0.12979703],[0.01277399],[0.03382602],[0.01699097]
28,[79.4455322],[0.00908277],[0.01056181],[0.7785417],[0.1263347],[0.0157994],[0.03065779],[0.01618381]
29,[78.1015196],[0.00777609],[0.00632176],[0.78224163],[0.1075169],[0.03224255],[0.01343848],[0.01782812]
